title,authors,url,year,abstract
"New finding of peridomestic Triatoma infestans (Klug, 1834) (Hemiptera: Reduviidae) in Mexico: Molecular approach using cytochrome B and cytochrome oxidase I.","Martínez-Hernández, F., G. Villalobos, O. D. Montañez-Valdez and J. A. Martínez-Ibarra.",https://bibtri.cepave.edu.ar/download.php?id=15581,2022,"A previous work morphologically identified some specimens colonizing peridomestic sites of Manzanillo Colima,mexico, as Triatoma infestans (Klug). In the present study, a molecular approach using cytochrome B and cytochrome oxidase I was implemented for the genetic identification and determination of the origin of that population. Phylogenetic analyses positively identified our studied specimens as belonging to the T. infestans clade based on genetic markers with high posterior probability values, and the haplotype network showed Uruguay, Chile and Argentina as probable countries of origin of the populations inmexico, which was supported by gene flow and migration index analyses. Due to the proximity of the port of Manzanillo to the collection sites, the introduced specimens were hypothesized to have travelled from the countries of origin tomexicoin a seed shipment inside a TEU (twenty-foot equivalent unit) maritime container. The identification of T. infestans inmexicorepresents a serious health problem, and the findings presented here indicate a novel pathway for displacing this vector with the possibility of transmission to any other part of the world, which should be further investigated."
"Chagas Disease in Pregnant Women from Endemic Regions Attending the Hospital General de Mexico, Mexico City.","Chakravarti, I., M. Miranda-Schaeubinger, A. Ruiz-Remigio, C. Briones-Garduño, E. A. Fernández-Figueroa, C. C. Villanueva-Cabello, A. Borge-Villareal, Y. Bejar-Ramírez, A. Pérez-González, C. Rivera-Benitez, E. Oren, H. E. Brown, I. Becker and R. H. Gilman.",https://bibtri.cepave.edu.ar/download.php?id=15674,2022,"Trypanosoma cruzi infection leads to Chagas disease (CD), a neglected tropical infection of significant public health importance in South and Central America and other, non-endemic, countries. Pregnant women and their children are of particular importance to screen as T. cruzi can be transmitted vertically. The objective of this study was to screen for T. cruzi infection among pregnant women from endemic areas seen at the Hospital General demexicofor prenatal care, so that they and their children may be quickly connected to CD treatment. Pregnant women were recruited through the hospital prenatal clinic and screened for T. cruzi infection using a series of serological and molecular tests. Of 150 screened patients, mean age 26.8 (SD 6.4), 30 (20.0%) were positive by at least one diagnostic test. Of these, only nine (6%) were positive as determined by PCR. Diagnosis of chronic CD is difficult in endemic places likemexicodue to the limitations of current commercially available diagnostic tests. Further evaluation of diagnostic performance of various assays could improve current CD diagnostic algorithms and proper care management in these regions. Genetic variability in the parasite may also play a role in the differing assay performances seen in this study, and this may be a valuable avenue of further research."
Interrupting Chagas Transmission in an Endemic Region of Guatemala: The Long-Term Impact of an Ecohealth Intervention.,"Pereira, F. M., D. Penados, P. L. Dorn, B. Alcántara and M. C. Monroy.",https://bibtri.cepave.edu.ar/download.php?id=15750,2022,"Triatoma dimidiata is the main vector of Chagas disease in southernmexico, Central America and northern South America. As an autochthonous vector, it moves readily among domestic, peri-domestic and sylvatic environments, making it difficult to control only using insecticide as this requires regular application, and re-infestation frequently occurs. Other social innovation alternatives such as those based on Ecohealth principles can be used to tackle the dynamics of the disease in an integral way. We asked whether an Ecohealth intervention, implemented beginning in 2001 in a highly infested village in southeastern Guatemala, was sustainable in the long term. This intervention included making low-cost house improvements to eliminate transmission risk factors such as repairing cracked walls, covering dirt floors with a cement-like substance and moving domestic animals outside. We assessed the long-term sustainability through entomological and house condition surveys, as well as an analysis of community satisfaction. We found over a 19-year period, infestation with T. dimidiata was reduced and maintained at a level where vector transmission is unlikely. This reduction coincided with a large proportion of villagers implementing the Ecohealth approach, improving their houses and managing their domestic animals to maintain the village at low risk for Chagas transmission. High levels of community satisfaction were also observed, which likely played a role in the long-term persistence of the modifications. Although the infestation has remained low, 11 years following the last intervention and as the population grew there has been an increase in the proportion of 'at-risk' houses pointing out the necessity of maintaining vigilance. The Ecohealth approach is a low-cost, sustainable approach for the long-term control of vector-borne Chagas disease. We recommend this approach including ongoing community monitoring and institutional response for the long-term, integrated control of Chagas disease."
"Mini-exon gene reveals circulation of TcI Trypanosoma cruzi (Chagas, 1909) (Kinetoplastida, Trypanosomatidae) in bats and small mammals in an ecological reserve in southeastern Mexico.","Gómez-Sánchez, E. F., H. Ochoa-Díaz-López, E. E. Espinoza-Medinilla, D. D. Velázquez-Ramírez, N. G. Santos-Hernández, C. Ruiz-Castillejos, D. G. Vidal-López, A. Moreno-Rodríguez, A. L. Flores-Villegas, E. López-Argueta, J. A. De Fuentes-Vicente.",https://bibtri.cepave.edu.ar/download.php?id=15758,2022,"A wide variety of mammals are involved in the sylvatic cycle of Trypanosoma cruzi, the causative agent of Chagas disease. In many areas in Latin America where T. cruzi is endemic, this cycle is poorly known, and its main reservoirs have not been identified. In this study we analyzed T. cruzi infection in bats and other small mammals from an Ecological Reserve in southeasternmexico. From January through March 2021, we captured wild individuals to extract cardiac and peripheral blood, and infection was detected by PCR of the mini-exon gene. In bats, the prevalence of infection was 16.36%, while in small mammals the prevalence was 28.57%. All of the samples that were positive for T. cruzi were identified as the TCI genotype. Our findings suggest that this zone, situated at the periphery of urban zones might have epidemiological relevance in the sylvatic cycle of T. cruzi and needs to be monitored. The infection of bats in this area is particularly concerning since the flight pattern of this populations overlaps with human settlements. Despite being subject to conservation protections, there continue to be anthropogenic actions that disturb the study area, which could exacerbate risks to public health."
"Molecular data confirm Triatoma pallidipennis Stal, 1872 (Hemiptera: Reduviidae: Triatominae), as a novel cryptic species complex.","Cruz, D. D. and E. Arellano.",https://bibtri.cepave.edu.ar/download.php?id=15760,2022,"Triatoma pallidipennis constitues one of the most important Chagas disease vector inmexico. Previous studies based on molecular data suggest T. pallidipennis as a complex of cryptic species. For that reason, we analyzed the phylogenetic relationships of T. pallidipennis using DNA sequences from the mitochondrial ND4 gene and the ITS- 2 gene. In addition, the divergence times were estimated, and possible new taxa were delimited with three species delimitation methods. Finally, genetic distances and possible connectivity routes based on shared haplotypes were obtained among the T. pallidipennis populations. Five haplogroups (possible cryptic species) were found, based on delimitation methods and genetic distances. Haplogroup divergence began about 3 Ma, in the Pleistocene. Moreover, none of the haplogroups showed potential connectivity routes between them, evidencing lack of gene flow. Our results suggest the existence of a new cryptic species complex within what is currently recognized as a T. pallidipennis."
Unexpected case of chagas disease reactivation in endomyocardial biopsy for evaluation of cardiac allograft rejection.,"Hamilton, M. M., M. Sciaudone, P. P. Chang, N. M. Bowman, T. M. Andermann, L. A. Bartelt, S. P. Jaganathan, L. J. Rose-Jones, M. E. Andrews and B. Singer.",https://bibtri.cepave.edu.ar/download.php?id=16055,2022,"Acute Chagas disease reactivation (CDR) after cardiac transplantation is a well-known phenomenon in endemic countries of Central and South America andmexico, but is rare outside of those countries. In this report, we describe a case of a 49-year-old male who presented 25 weeks after heart transplant with clinical features concerning for acute rejection, including malaise, anorexia, weight loss, and fever. His immunosuppression therapy included tacrolimus, mycophenolate, and prednisone. An endomyocar- dial biopsy revealed lymphocytic and eosinophilic inflammation, myocyte damage, and rare foci of in- tracellular organisms consistent with Trypanosoma cruzi amastigotes. The patient had no known history of Chagas disease. Upon additional questioning, the patient endorsed bites from reduviid bugs during childhood in El Salvador. Follow-up serum PCR testing was positive for T. cruzi DNA. Tests for other infec- tious organisms and donor specific antibodies were negative. This case illustrates the striking clinical and histologic similarities between acute cellular rejection and acute CDR with cardiac involvement in heart transplant patients, and thus emphasizes the importance of pre-transplant testing for Chagas in patients with epidemiologic risk factors."
"Presence of anti-T. cruzi antibodies in inhabitants and dogs of two rural settlements in the Sierra de Los Tuxtlas, Veracruz, Mexico.","Benítez-Villa, G. E., A. López-Monteon, E. Waleckx, E. Dumonteil, A. J. Márquez-Fernández, M. J. Rovirosa-Hernández, F. Orduña-García, D. Guzmán-Gómez and A. Ramos-Ligonio.",https://bibtri.cepave.edu.ar/download.php?id=16384,2022,"Purpose The aim of this study was to identify the risk factors associated with house infestation by Triatoma dimidiata as well as with Trypanosoma cruzi infection in humans and owned dogs in two rural communities from the municipality of Catemaco, Veracruz,mexico.  Methods One hundred and 16 human blood samples and 34 dog blood samples were collected. The presence of anti-T. cruzi antibodies was determined using four different ELISA assays. Moreover, reactive ELISA sera from humans and dogs were processed by indirect immunofluorescence (IFI) to confirm the presence of anti-T. cruzi antibodies.  Results Serologic tests for T. cruzi infection showed a prevalence of 5.1% (6/116) in humans and of 50% (17/34) in owned dogs.  Conclusion The presence of animals (dogs, chickens and wild animals), as well as some characteristics of house construction were identified as risk factors for infestation and infection. Complementary studies must be carried out to allow a better understanding of the transmission dynamics in the state of Veracruz,mexico, and the implementation of adequate control programs."
A New Record of the Introduced Species Triatoma infestans (Hemiptera: Reduviidae) in Mexico.,"Martínez-Hernández, F., G. Villalobos, O. D. Montañez-Valdez and J. A. Martínez-Ibarra.",https://bibtri.cepave.edu.ar/download.php?id=16615,2022,"Here, we report a new record of Triatoma infestans (Klug) inmexicoafter 50 years and provide a brief description of the discovery area. Fifty-nine specimens (71.2% adults) of the introduced species were collected from the peridomestic areas of a single house in the port of Manzanillo in the state of Colima,mexico. Thirty-one specimens (52.5%) were collected from the exterior walls of the house and were apparently attracted to light. The other specimens (47.5%) were associated with chickens. No specimen was infected with Trypanosoma cruzi Chagas, the causative agent of Chagas disease, possibly because they were feeding on chickens. We speculate that the introduced species travelled from South America tomexicovia seed shipment in a twenty-foot equivalent unit (TEU) maritime container. Because Mexican phytosanitary regulations demand only the cargo to be inspected, the triatomines could have escaped notice during inspection. Subsequently, as the cargo was unloaded and the TEU was stored, the triatomines likely flew to and invaded the nearby residential areas. The rediscovery of this domestic vector of T. cruzi inmexicowarrants further investigation owing to the potential risk of transmission to the inhabitants of the study area."
"Identity and Report of Telenomus fariai Parasitizing Eggs of Triatoma dimidiata at Yucatan, Mexico.","Arisqueta-Chablé, C., M. de L. Ramírez-Ahuja, H. Delfín-González, M. A. Gómez-Govea, K. I. Peña-Carrillo, G. Vazquez-Prokopec, I. P. Rodríguez-Sanchez and P. Manrique-Saide.",https://bibtri.cepave.edu.ar/download.php?id=16645,2022,"Triatoma dimidiata is the main vector of Chagas disease in Central and South America. We report for the first time, the wasp Telenomus fariai parasitizing eggs of T. dimidiata at Yucatan,mexico. Specimens of different life stages of T. dimidiata were collected in January and February 2020 in fields at Tekik de Regil. In total, 135 eggs of T. dimidiata were collected of which 25 were parasitized. Parasitoids that emerged were identified as Telenomus fariai (41 f and 7 m)."
"In search of Triatominae (Hemiptera: Reduviidae) using mice-baited traps along the peninsula of Baja California, Mexico.","Waleckx, E., J. J. Rios Verdugo, A. Amblard-Rambert, G. E. Medina Basulto, G. López-Valencia and A. P. Haro.",https://bibtri.cepave.edu.ar/download.php?id=16646,2022,"During a 3000 kms-exploratory fieldtrip along the peninsula of Baja California,mexico, we used mice-baited traps in search of Triatominae. Specimens of Paratriatoma hirsuta and Dipetalogaster maxima were collected."
