title,abstract,year,citationCount,url,paperId,authors,Source,have new datapoint,Notes
"Identification of a triatomine infected with Trypanosoma cruzi in an urban area of the state of Veracruz, Mexico: A comprehensive study","Chagas disease, considered a neglected disease, was initially confined to rural localities in endemic areas; however, in recent years through the process of urbanization and migration of infected people, the disease is gaining importance in urban environments. The presence of the vector in urban areas in most cases is due to the passive transport of vectors, but recently, its presence seems to be linked to vector adaptation processes associated with climate change. This paper reports the occurrence of an infected triatomine in the peridomicile of a house in an urban area of Córdoba, Veracruz, Mexico, where the species found is described, the molecular characteristics and resistance to BZN and NFX of the Trypanosoma cruzi isolate obtained, as well as serological data of the dwelling inhabitants. These urban disease scenarios make it possible to generate new scientific knowledge and enable the creation of new control strategies for Chagas disease vectors.",2023,0,https://www.semanticscholar.org/paper/3d5e1a6694ace87a189e007c4139f19f39f3546b,3d5e1a6694ace87a189e007c4139f19f39f3546b,"Ochoa-Martínez Paulina, López-Monteon Aracely, López-Domínguez Jaime, Torres-Montero Jesús, Domínguez-Guillén Jorge Alberto, Ramos-Ligonio Angel",Semantic Scholar,Yes,
"First Report of Eratyrus cuspidatus (Hemiptera: Reduviidae) Infected with Trypanosoma cruzi in Peridomestic Environment in Chiapas, Mexico.","Background: Triatomine bugs are natural vectors of Trypanosoma cruzi, which causes Chagas disease or American trypanosomiasis. The role of sylvatic triatomine species as vectors of T. cruzi in Mexico remains to be fully understood. Our research on the epidemiology of Chagas disease in Southeastern Mexico involved sampling triatomines in rural settings. Materials and Methods: A triatomine was collected in a peridomestic environment of a rural dwelling in the state of Chiapas. The triatomine was identified morphologically as an adult female Eratyrus cuspidatus Stal. Results: Microscopic analysis revealed flagellate forms of T. cruzi in the feces of the E. cuspidatus collected. This was confirmed by quantitative polymerase chain reaction. Amplification of the mini-exon gene showed that the T. cruzi infecting E. cuspidatus corresponded to lineage I. Conclusions: This is the first report from Mexico of E. cuspidatus found infected in a human dwelling, which represents an important adaptation process to inhabit human environments.",2023,0,https://www.semanticscholar.org/paper/200bcf413427bf401239ce932ccb56b8dbdc05ec,200bcf413427bf401239ce932ccb56b8dbdc05ec,"D. D. Velázquez-Ramírez, J. A. De Fuentes-Vicente, Mustapha Debboun, Adalberto A. Pérez de León, CA Irecta-Nájera, Lorenzo Cruz-Méndez, E. Espinoza-Medinilla, Héctor Ochoa-Díaz-López",Semantic Scholar,Yes,
Infection with Trypanosoma Cruzi Chagas and Characterization of Human Habitats of Triatoma Picturata (Usinger) in Western Mexico,"ABSTRACT: Chagas disease is one of the most important vector-borne diseases in Latin America. Triatoma picturata (Usinger), distributed in western Mexico, is one of the most important vectors of Trypanosoma cruzi Chagas. Knowing the type and materials used for building homes could lead to improved methods for controlling triatomines by focusing efforts on controlling every species of triatomine in its specific microhabitat. Houses in three studied localities of western Mexico that harbored T. picturata were characterized, as well as two entomological indices. Infestation Index values varied from 10.8% to 51.9% in the three localities, whereas Natural Infection Index values varied from 18.1% to 35.2%. Characteristics of houses invaded by T. picturata also varied. In Juan Gil Preciado, with the highest Entomological Index values, most houses were built of adobe walls with a roof of clay tiles and a dirt floor, and included the presence of domestic animals. Our data indicate that the potential risk of infection with T. cruzi differs markedly for inhabitants of the three studied localities, which demonstrates the importance of studying local populations of triatomines. Our study should contribute to decision-making regarding triatomine control efforts by providing profiles of houses that are more susceptible to triatomine invasion.",2023,0,https://www.semanticscholar.org/paper/b192815a59d10c225cece8523d79d11044d83e1b,b192815a59d10c225cece8523d79d11044d83e1b,"T. Meraz-Medina, Paulo Daniel Rúa-Vázquez, José Francisco Montealegre-Bautista, J. Martínez-Ibarra",Semantic Scholar,Yes,
"New Records of Triatomine: Triatoma rubida and T. sinaloensis at Sonora, Northwestern Mexico","Abstract. To update a list of arthropod group-species, including triatomines, in the State of Sonora, northwestern Mexico, entomological surveys were done during the spring of 2022 in conserved areas of the state. Triatomines Triatoma rubida (Uhler) and T. sinaloensis Ryckman (Hemiptera: Reduviidae) were found living in nests of woodrats, Neotoma sp., and California roadrunners, Geococcyx californianus (Lesson). Because T. rubida is one of the main vectors of Chagas disease in North America, and T. sinaloensis has been found naturally infected with Trypanosoma cruzi Chagas, surveillance of the species should be essential for Chagas disease control programs in northwestern Mexico.",2023,0,https://www.semanticscholar.org/paper/3e054bbba65d8e23aed661388f95226fe86e25d4,3e054bbba65d8e23aed661388f95226fe86e25d4,"Antonio A. Sánchez-García, A. Ortega-Morales, Guillermo Morillón-Borjón, Gladis Moreno-Bello, F. J. Sánchez-Ramos, Q. Siller-Rodríguez, Isaías López-Hernández",Semantic Scholar,Yes,
"Chagas Disease, a Triatomine Bug-Transmitted Protozoan Infection","Chagas disease is a potentially fatal, chronic disease caused by Trypanosoma cruzi, a protozoan parasite. It causes 6 to 8 million cases and 50,000 deaths each year. Humans and animals usually become infected with T. cruzi via triatomine bugs, also called kissing or conenose bugs, found only in the Americas. Disease transmitted by triatomine bugs generally occurs in rural areas of Mexico, Central America, and South America, but it is becoming more prevalent in non-endemic areas like the US as asymptomatic infected people move from rural to urban areas of Latin America and other regions. In the US, approximately 300,000 people are currently infected with Chagas disease, 18,000 in Florida. Most if not all of them were infected elsewhere; local transmission of Chagas disease via triatomines in the US is rare. Awareness and understanding of Chagas disease are critical to detect and treat cases early. This publication is intended for anyone interested in learning more about Chagas disease.",2023,0,https://www.semanticscholar.org/paper/c936b4ef3fd874af4ee71427408b470a8c35ba9b,c936b4ef3fd874af4ee71427408b470a8c35ba9b,"Bethany R. Eutsey, C. Jack, Shelley A. Whitehead, E. Buckner",Semantic Scholar,No,
Chagas Disease,"Chagas disease, which is caused by infection with the parasite Trypanosoma cruzi, is a leading neglected tropical disease in the United States. An estimated 240 000 to 350 000 persons in the United States are infected, primarily immigrants from Mexico, Central America, and South America, where the disease is endemic. The parasite is transmitted by the triatomine bug but can also be passed through blood transfusion, via organ transplant, or congenitally. Approximately 30% of infected persons later develop cardiac and/or gastrointestinal complications. Health care providers should consider screening at-risk patients with serologic testing. Early diagnosis and treatment with benznidazole or nifurtimox can help prevent complications.",2023,10,https://www.semanticscholar.org/paper/f06a9ee8668674184acd43a6f3b4dc1780387bbd,f06a9ee8668674184acd43a6f3b4dc1780387bbd,"N. Hochberg, S. Montgomery",Semantic Scholar,No,
"Chagas Disease, A Review of the Literature","Chagas disease is a vector-borne (triatomine) infection caused by the protozoan parasite Trypanosoma cruzi. Synonyms for this disease are: American trypanosomiasis, Chagas disease and T. cruzi infection. 10, 5 The most common form of transmission of Chagas disease is through hematophagous triatomine insects (triatominae), which develop in dwellings in precarious conditions, The disease can also be transmitted by blood transfusion, organ transplantation, oral and congenital routes, and even more rarely by exceptional routes such as sexual contact and non-Triatominae vectors. American Trypanosomiasis is endemic in much of Mexico, Central and South America 1,11. it is estimated that ~6 million individuals are infected throughout Latin America, while ~300,000 are infected in the U.S.1, 10, 11,16 Chagas disease has two clearly differentiated phases. Initially, the acute phase lasts about two months after infection, they may have a skin lesion or a purplish swelling of an eyelid, they may have fever, headache, enlarged lymph nodes, pallor, muscle aches, shortness of breath, swelling, and abdominal or chest pain. During the chronic phase, the infection can cause sudden death due to cardiac arrhythmias or progressive heart failure due to destruction of the cardiac muscle and its innervations. 15 Appropriate diagnostics for acute infection, nucleic acid amplification testing (NAAT) from blood is recommended; For chronic infection, serological testing is employed. Antitrypanosomal agents, benznidazole and nifurtimox, have shown efficacy in treating T. cruzi infection, The most serious complication is chronic chagasic heart disease, since it is the main cause of death in sick patients. 16",2023,0,https://www.semanticscholar.org/paper/02a92ce74e01835ca926db4cf45a006f0e26ac5f,02a92ce74e01835ca926db4cf45a006f0e26ac5f,"Karen Denis Gómez Arciniega, Ramsés Erwin López Castellón",Semantic Scholar,No,
Crossing experiments detect partial reproductive isolation among populations of Triatoma longipennis (Hemiptera: Reduviidae: Triatominae).,"Chagas disease is an important vector-borne disease endemic in Mexico. Of the 33 triatomine species found in Mexico, Triatoma longipennis (Usinger) is considered among the most important because of its infection indices, capacity for transmitting Trypanosoma cruzi (Chagas), and its distribution areas. Here, we describe the results of a reproductive isolation analysis among 5 populations of T. longipennis collected from representative areas of Mexico. Fertility and segregation of morphological characteristics were examined in two generations of hybrids. The percentage of pairs with (fertile) offspring varied from 30% to 100% in the parental crosses, while these values varied from 0 to 100% in the intersite crosses. Our results indicate partial reproductive isolation among these populations. These findings shed light on the potential presence of a cryptic species complex of T. longipennis in Mexico.",2023,0,https://www.semanticscholar.org/paper/64ef00940acc414fc5ba14be3b7cc3fe5d51eae7,64ef00940acc414fc5ba14be3b7cc3fe5d51eae7,"J. Martínez-Ibarra, B. Nogueda-Torres, T. Meraz-Medina, Gumercindo Goicochea Del Rosal",Semantic Scholar,Yes,
Acute Myopericarditis Secondary to Chagas Disease,"American trypanosomiasis or Chagas disease is predominantly a vector-borne multisystemic infection caused by Trypanosoma cruzi, a protozoan parasite transmitted by triatomine bugs in endemic areas such as Mexico and Central and South America. Acute T. cruzi infection is mostly asymptomatic, nonetheless, in up to one-third of the patients, a mild form of the disease can be present, with nonspecific manifestations like fever, lymphadenopathy, hepatosplenomegaly, inflammation at the inoculation site (inoculation chancre) and unilateral palpebral edema (Romaña sign). Severe acute disease occurs in less than 1% of patients and includes myopericarditis and meningoencephalitis. If untreated, the acute phase can cause chronicity with cardiac and gastrointestinal involvement. We report the case of a female with occupational exposure to this parasite, who presented with acute myopericarditis, a rare form of presentation of this disease.",2023,0,https://www.semanticscholar.org/paper/eaf10dcf4ebde8564c5d315f6f283de5f09aecc8,eaf10dcf4ebde8564c5d315f6f283de5f09aecc8,"I. A. Elizalde Uribe, Maria F Osorno Gonzalez de Leon, Karla V Barrios Perez, Diana C Valle Robles, B. A. Lopez-Luis, E. N. Andrade Cuellar, Sandra I Dominguez Valdez, Juan E Muñoz Arellano, Deyanira Alvarez Camargo, Gabriela Melendez Ramirez",Semantic Scholar,No,
The distribution of triatomine (Hemiptera: Reduviidae) vectors of Trypanosoma cruzi (Kinetoplastida: Trypanosomatidae) in Illinois and Missouri: historical records and specimen submissions from community science programs.,"Triatomine species (kissing bugs) infected with Trypanosoma cruzi are found across the southern United States. The northern limits of Trypanosoma cruzi infected kissing bugs are less understood. The objective of this work was to describe the locations of kissing bugs from Illinois and Missouri based on historical records, submissions to Texas A&M University's (TAMU) Kissing Bug Community Science Program and the Centers for Disease Control and Prevention (CDC), and records from online platforms (iNaturalist, BugGuide, and GBIF) up to and including 2022. A total of 228 records were discovered, including 186 from historical or observation platforms and 42 specimens submitted to TAMU or CDC. Species included Triatoma sanguisuga (221 total records, 9 nymphs) and Triatoma lecticularia (7 records). Notably, nearly all (24/26) records submitted to TAMU were collected indoors. Twelve of the 30 (40%) specimens tested were positive for the presence of T. cruzi, including parasite discrete taxonomic units TcI and TcIV. One triatomine sample had been found in a bed feeding on the submitter; this bug was positive for T. cruzi and had evidence of human blood in its gut. Records suggest a ubiquitous distribution in Missouri and potentially to the northernmost border in Illinois. Further investigations into triatomine distribution and infection status are needed within states assumed to be northern limits in order to create public health and veterinary health messaging and baseline distributional maps from which to measure future range shifts in relation to a changing climate.",2023,0,https://www.semanticscholar.org/paper/26c765439f3ffb2a1f84d0a00d82100d54b09b8f,26c765439f3ffb2a1f84d0a00d82100d54b09b8f,"Ellen M. Santos, Catherine D Santanello, R. Curtis-Robles, Keswick C. Killets, G. Lawrence, Jet Sevenshadows, Meredith J. Mahoney, Molly Baker, S. Hamer",Semantic Scholar,Yes,Need to check if all the observations have been featured in old databases (e.g. new American)
