title,authors,url,year,abstract
Seroprevalence of Chagas Disease Among Latin American Children Living in New York.,"Handel, A. S., H. Hellman, E. Flores and C. Beneri.",https://bibtri.cepave.edu.ar/download.php?id=15801,2022,"Among a small cohort of first- and second-generation Latin American children living in theunitedstates, we found a seroprevalence rate of approximately 1%, consistent with the seropositivity rate in endemic Latin American countries. Consistent with prior seroprevalence studies, Chagas disease is rare, and identifying those at highest risk of infection remains a challenge. As a result, universal screening of children born in Latin America may be the optimal method for identifying asymptomatic infections. Among those children born in theunitedstatesto mothers who lived in Latin America, maternal screening is likely a more cost-efficient approach than testing all secondgeneration children. Early identification of Chagas disease enables children to receive well-tolerated, highly effective antiparasitic medications, preventing severe morbidity during adulthood."
"Chagas Disease Ecology in the United States: Recent Advances in Understanding Trypanosoma cruzi Transmission Among Triatomines,Wildlife, and Domestic Animals and a Quantitative Synthesis of Vector–Host Interactions.","Busselman, R. E. and S. A. Hamer.",https://bibtri.cepave.edu.ar/download.php?id=15838,2022,"Chagas disease, a neglected tropical disease present in the Americas, is caused by the parasite Trypanosoma cruzi and is transmitted by triatomine kissing bug vectors. Hundreds of vertebrate host species are involved in the ecology of Chagas disease. The sylvatic nature of most triatomines found in theunitedstatesaccounts for high levels of animal infections but few reports of human infections. This review focuses on triatomine distributions and animal infections in the southernunitedstates. A quantitative synthesis of available US data from triatomine bloodmeal analysis studies shows that dogs, humans, and rodents are key taxa for feeding triatomines. Imperfect and unvalidated diagnostic tools in wildlife complicate the study of animal T. cruzi infections, and integrated vector management approaches are needed to reduce parasite transmission in nature. The diversity of animal species involved in Chagas disease ecology underscores the importance of a One Health approach for disease research and management."
"Characteristics and Adverse Events of Patients for Whom Nifurtimox Was Released Through CDC-Sponsored Investigational New Drug Program for Treatment of Chagas Disease - United States, 2001–2021.","Abbott, A., S. P. Montgomery, and R. J. Chancey.",https://bibtri.cepave.edu.ar/download.php?id=15908,2022,"What is already known about this topic? Nifurtimox is used to treat Chagas disease. During 2001–2021, CDC sponsored an Investigational New Drug protocol, which made nifurtimox available for treatment of Chagas disease in theunitedstates. What is added by this report? CDC released nifurtimox to 336 patients, 34.2% of whom were in California. Most patients were aged 18 years (91.8%; 305 of 332) and Hispanic (93.2%; 290 of 311). Among 243 treated patients reporting information about adverse events, 91.4% (222 of 243) experienced at least one adverse event. What are the implications for public health practice? Nifurtimox is now commercially available as Lampit (Bayer) and is no longer distributed by CDC. Physicians should be aware of the frequency of adverse events when prescribing nifurtimox."
Diagnosis and Clinical Management of Chagas Disease: An Increasing Challenge in Non-Endemic Areas.,"Suárez, C., D. Nolder, A. García-Mingo, D. A. J. Moore and P. L. Chiodini.",https://bibtri.cepave.edu.ar/download.php?id=16694,2022,"Chagas disease (CD) is caused by the parasite Trypanosoma cruzi, and it is endemic in Central, South America, Mexico and the South of theunitedstates. It is an important cause of early mortality and morbidity, and it is associated with poverty and stigma. A third of the cases evolve into chronic cardiomyopathy and gastrointestinal disease. The infection is transmitted vertically and by blood/organ donation and can reactivate with immunosuppression. Case identification requires awareness and screening programmes targeting the population at risk (women in reproductive age, donors, immunocompromised patients). Treatment with benznidazole or nifurtimox is most effective in the acute phase and prevents progression to chronic phase when given to children. Treating women antenatally reduces but does not eliminate vertical transmission. Treatment is poorly tolerated, contraindicated during pregnancy, and has little effect modifying the disease in the chronic phase. Screening is easily performed with serology. Migration has brought the disease outside of the endemic countries, where the transmission continues vertically and via blood and tissue/organ donations. There are more than 32 million migrants from Latin America living in non-endemic countries. However, the infection is massively underdiagnosed in this setting due to the lack of awareness by patients, health authorities and professionals. Blood and tissue donation screening policies have significantly reduced transmission in endemic countries but are not universally established in the non-endemic setting. Antenatal screening is not commonly done. Other challenges include difficulties accessing and retaining patients in the healthcare system and lack of specific funding for the interventions. Any strategy must be accompanied by education and awareness campaigns directed to patients, professionals and policy makers. The involvement of patients and their communities is central and key for success and must be sought early and actively. This review proposes strategies to address challenges faced by non-endemic countries."
"Collection of triatomines from sylvatic habitats by a Chagas-positive, trained scent-detection canine in Texas, USA.","Christopher, D. M., R. Curtis-Robles, G. L. Hamer, J. Bejcek, A. B. Saunders, W. D. Roachell, T. L. Cropper and S. A. Hamer.",https://bibtri.cepave.edu.ar/download.php?id=17263,2022,"Background Triatomine insects, vectors of the etiologic agent of Chagas disease (Trypanosoma cruzi), are challenging to locate in sylvatic habitats. Collection techniques used in theunitedstatesoften rely on methods to intercept seasonally dispersing adults or on community scientists’ encounters. Neither method is suited for detecting nidicolous habitats, which is important for vector control. Furthermore, manual inspection of suspected harborages is unlikely to reveal novel locations and host associations. Similar to a team that used a trained dog to detect sylvatic triatomines in Paraguay, we worked with a trained scent detection dog to detect sylvatic locations of triatomines across Texas. Principle methodology Findings Ziza, a 3-year-old German Shorthaired Pointer previously naturally infected with T. cruzi, was trained to detect triatomines. Over the course of 6 weeks in the fall of 2017, the dog and her handler visited 18 sites across Texas. The dog detected 60 triatomines at 7 locations; an additional 50 triatomines were contemporaneously collected at these sites without the assistance of the dog. Approximately 0.98 triatomines per hour were found when only humans were conducting searches; when working with the dog, approximately 1.71 triatomines per hour were found. In total, 3 adults and 107 nymphs of four species (Triatoma gerstaeckeri, Triatoma protracta, Triatoma sanguisuga, and Triatoma indictiva) were collected. PCR testing of a subset revealed T. cruzi infection, including DTUs TcI and TcIV, in 28% of nymphs (n=100) and 66% of adults (n=3). Blood meal analysis of a subset of triatomines (n=5) revealed feeding on Virginia opossum (Didelphis virginiana), Southern plains woodrat (Neotoma micropus) and eastern cottontail (Sylvilagus floridanus). Conclusion Significance A trained scent detection dog enhanced triatomine detections in sylvatic habitats. This approach is especially effective at detecting triatomine nymphs and nidicolous locations. With new knowledge of specific sylvatic habitats and key hosts fed upon by triatomines, there are opportunities for continued exploration of novel vector control methods to block the transmission of T. cruzi to humans and domestic animals."
How does academia respond to the burden of infectious and parasitic disease?.,"Zhao, W., L. Wang and L. Zhang.",https://bibtri.cepave.edu.ar/download.php?id=17316,2022,"Background: Academic research is one of the main avenues through which humans can fight the threat of infectious diseases. However, there have been concerns regarding whether the academic system has provided sufficient efforts to fight infectious diseases we potentially face. Answering these questions could contribute to evidence-based recommendations for setting research priorities and third-mission policies. Methods: With a focus on one of the most common categories of communicable diseases, infectious and parasitic diseases (IPDs), we searched Web of Science for articles and reviews relevant to IPDs published during the period 2000–2019 and retrieved WHO data on disease burden in corresponding years. The academic response patterns were explored by IPD subcategory and by human development level (an index established by theunitedNations). We conduct the analysis in particular to gain insight into the dynamic relationship between disease burden and research effort on IPDs, scientific efforts contributed by countries with different development levels, and the variation trends in international joint efforts. Results: The greatest burden of IPDs is clustered in the developing regions of Africa, but has received academic response from both developed and developing countries. Highly developed countries dominate the ranks of academic research in this area, yet there is also a clear increase in research efforts from the countries most affected, despite their low human development scale. In fact, the overall analysis reveals an improved capability for addressing local problems from African regions. In terms of international collaboration, highly developed countries such as theunitedstatesandunitedKingdom have commonly collaborated with needy regions, whereas prolific but developing nations, like China, have not. Conclusions: From a global perspective, academia has positively responded to health needs caused by IPDs. Although the relevant research output contribution is primarily from the highly developed countries, concentrated and specialized efforts from the undeveloped regions to ease their local burden can be clearly observed. Our findings also indicate a tendency to focus more on local health needs for both developed and undeveloped regions. The insights revealed in this study should benefit a more informed and systemic plan of research priorities."
"Southwestern national park service employee risk, knowledge, and concern for triatomine exposure: A qualitative analysis using a novel knowledge, attitudes, and practices survey.","Alvarado, A., E. M. Mader, D. Buttke and L. C. Harrington.",https://bibtri.cepave.edu.ar/download.php?id=17359,2022,"Chagas disease (CD), caused by the parasite Trypanosoma cruzi, is a neglected parasitic infection in theunitedstates(US). In the Southwestern US, National Park Service (NPS) employees are a unique population with potential exposure to CD. This population lives in close contact with several species of sylvatic triatomine bugs, the vectors of T. cruzi, that may enter residential buildings at night. Despite the higher potential risk of CD transmission for southwestern NPS employees, the socio-cultural factors that impact autochthonous CD transmission in the US remain unknown. To address this gap, we investigated how NPS employee knowledge and attitudes impact their triatomine preventive behaviors. We distributed a 42-item online questionnaire to NPS employees at four national parks in Arizona and Texas. We detected high self-reported bite exposure in NPS housing, despite moderate- to high-frequency of prevention behaviors. Specific behaviors, such as often or always repairing window screens, were associated with a decreased risk of putative triatomine bug exposure. Additionally, NPS employees had low knowledge of CD. For those with greater knowledge of CD, it was not associated with increased frequency of prevention behavior. We found that increased CD anxiety was associated with increased personal agency to reduce the risk of CD. These results demonstrate the influence of knowledge and attitudes regarding CD on triatomine prevention behavior within a potential high-risk population in the US, and the importance of utilizing strategies beyond provision of education to influence behaviors."
Reactions to bites from kissing bugs (primarily genus Triatoma).,"Goddard, J. and R. D. deShazo.",https://bibtri.cepave.edu.ar/download.php?id=17762,2022,"Triatoma insects (colloquial names include kissing bug, Mexican bed bug, and cone-nosed bug) are found primarily in the western and southernunitedstates, Central and South America, and Mexico (picture 1 and picture 2). Kissing bug bites are usually painless and undetected by the victim. However, these insects are of medical importance both because they can transmit the protozoan Trypanosoma cruzi, which causes Chagas disease, and also because people can develop life-threatening allergic reactions to their bites. Local reactions to Triatoma bites, most commonly consisting of erythema and edema around the puncture sites (picture 3), develop in some patients and are managed symptomatically. (See 'Local reactions' above.) Allergic reactions/anaphylaxis to Triatoma bites typically occur in the middle of the night, as Triatoma are nocturnal and bite while the victim sleeps. With the exception of this one distinguishing feature, the signs and symptoms of Triatoma anaphylaxis may be identical to those resulting from other triggers. Fatal and near-fatal cases of anaphylaxis have been reported. Acute treatment of anaphylaxis following a Triatoma bite is identical to acute treatment of anaphylaxis of any etiology.Upon discharge, all patients with anaphylaxis should be equipped with an epinephrine autoinjector and an anaphylaxis emergency action plan to manage initial treatment of recurrent episodes. Epinephrine should be kept at the bedside in the future. Once a patient with anaphylaxis has been stabilized, the home (or relevant site) should be thoroughly searched for the blood-engorged insect as soon as possible.If necessary, pest management professionals may be called upon to aid in the inspection process.Identification of the insect is important for diagnosis because reagents for skin testing and laboratory diagnosis are not available.Proper insect identification can be obtained from a local college or university entomology department or the extension service at participating land-grant universities nationwide. Patients should be given information about how to prevent future contact with Triatoma, including modifications of their homes, bedrooms, and surrounding environment.If kissing bugs are suspected to be present or found in the home, a pest management professional should be contacted. Specific immunotherapy to reduce an allergic patient's sensitivity to Triatoma is not commercially available.Thus, avoidance and education about early recognition and treatment of recurrent allergic reactions is critical."
Chagas disease in Oklahoma.,"Agudelo Higuita, N. I., M. S. Bronze, J. W. Smith and S. P. Montgomery.",https://bibtri.cepave.edu.ar/download.php?id=17765,2022,"Chagas disease, caused by infection with the protozoan Trypanosoma cruzi, is one of the leading public health problems in the Western Hemisphere. The parasite is mainly transmitted by contact with infected insect vectors but other forms of transmission are important in endemic areas. In theunitedstates, while the disease is largely restricted to immigrants from endemic countries in Latin America, there is some risk of local acquisition. T. cruzi circulates in a sylvatic cycle between mammals and local triatomine insects in the southern half of the country, where human residents may be at risk for incidental infection. There are several reported cases of locally-acquired Chagas disease in theunitedstates, but there is a paucity of information in Oklahoma. We present a brief summary of the available data of Chagas disease in Oklahoma to raise awareness and serve as a foundation for future research."
Enzootic cycle of Trypanosoma cruzi: Environmental diagnosis and sentinel dogs.,"das Chagas Xavier, S. C. and A. M. Jansen.",https://bibtri.cepave.edu.ar/download.php?id=18534,2022,"As a multi-host and paninfective parasite, Trypanosoma cruzi (Trypanosomatidae, Kinetoplastea) is maintained in nature by complex transmission cycles in which humans can be part and develop Chagas disease. Currently, transmission of T. cruzi to humans occurs predominantly in the Amazon, through ingestion of food contaminated by wild, non-domiciled and infected triatomines. This new epidemiological framework requires new surveillance and control strategies for rapid adoption of control measures. Here we propose three axes of action: 1) To monitor T. cruzi infection in domestic dogs as sentinels of the presence of an enzootic cycle happening in the vicinity of human living areas. Dogs are easily handled and traceable and it has already been shown that from six months onwards, when they start to roam in the environment, they may be exposed to T. cruzi. Localities where 30% of dogs display serological titers above 1:40 are areas of enzootic transmission. 2) The performance of the Chagas Lateral Flow Immunochromatographic Rapid Test (Bio-Manguinhos) that was evaluated and validated in house to use still in the field for the serological diagnosis of T. cruzi infection of dogs. 3) To conduct a spatial analysis and predictive models to implement socio-educational measures in risk areas to avoid new outbreaks and cases of Chagas disease, one of the most neglected diseases in Latin America, but that is increasingly expanding in the south of theunitedstatesand elsewhere in the world by migratory movements."
