Paper Title,Year,Author,Citation,Publication,Url of paper
Dynamic modeling of storm surge and inland flooding in a Texas coastal floodplain,2011.0,T Ray,58,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/(ASCE)HY.1943-7900.0000398
Sea-level rise effects on storm surge and nearshore waves on the Texas coast: influence of landscape and storm characteristics,2013.0,J Atkinson,75,ascelibrary.org,https://ascelibrary.org/doi/abs/10.1061/(ASCE)WW.1943-5460.0000187
[PDF][PDF] South Texas coastal area storm surge model development and improvement,2020.0,SE Davila,5,par.nsf.gov,https://par.nsf.gov/servlets/purl/10356776
[HTML][HTML] Quantifying the potential impact of land cover changes due to sea-level rise on storm surge on lower Texas coast bays,2014.0,CM Ferreira,28,Elsevier,https://www.sciencedirect.com/science/article/pii/S037838391400163X
"[HTML][HTML] Surge dynamics across a complex bay coastline, Galveston Bay, TX",2018.0,B Bass,13,Elsevier,https://www.sciencedirect.com/science/article/pii/S0378383916301326
[HTML][HTML] Storm surge propagation in Galveston Bay during hurricane Ike,2010.0,JL Rego,129,Elsevier,https://www.sciencedirect.com/science/article/pii/S0924796310001120
[HTML][HTML] Vulnerability of an industrial corridor in Texas to storm surge,2015.0,DW Burleson,26,Springer,https://link.springer.com/article/10.1007/s11069-015-1652-7
"[PDF][PDF] Coastal geomorphic responses to sea level rise: Galveston Bay, Texas",1984.0,SP Leatherman,86,risingsea.net,http://risingsea.net/papers/downloads/Challenge_for_this_generation_Barth_and_Titus_chapter5.pdf
[BOOK][B] Probability distributions for Texas Gulf coast hurricane effects of engineering interest.,1969.0,LR Russell,82,tamug-ir.tdl.org,https://tamug-ir.tdl.org/handle/1969.3/22523
"Combining surge and wind risk from hurricanes using a copula model: An example from Galveston, Texas",2015.0,JC Trepanier,19,Francis,https://www.tandfonline.com/doi/abs/10.1080/00330124.2013.866437
"[HTML][HTML] Hindcast of pluvial, fluvial, and coastal flood damage in Houston, Texas during Hurricane Harvey (2017) using SFINCS",2021.0,A Sebastian,15,Springer,https://link.springer.com/article/10.1007/s11069-021-04922-3
[HTML][HTML] Characterizing hurricane storm surge behavior in Galveston Bay using the SWAN+ ADCIRC model,2014.0,A Sebastian,167,Elsevier,https://www.sciencedirect.com/science/article/pii/S0378383914000556
Nonlinear terms in storm surge predictions: Effect of tide and shelf geometry with case study from Hurricane Rita,2010.0,JL Rego,159,Library,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2009JC005285
"[HTML][HTML] … coupled riverine flow, tide, wind, wind wave, and storm surge model for southern Louisiana and Mississippi. Part I: Model development and validation",2010.0,S Bunya,480,journals.ametsoc.org,https://journals.ametsoc.org/view/journals/mwre/138/2/2009mwr2906.1.xml?tab_body=fulltext-display
Quantifying riverine and storm‐surge flood risk by single‐family residence: Application to Texas,2013.0,J Czajkowski,44,Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/risa.12068
"Assessment of future flood hazards for southeastern Texas: Synthesizing subsidence, sea‐level rise, and storm surge scenarios",2021.0,MM Miller,14,Library,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2021GL092544
"US IOOS coastal and ocean modeling testbed: Inter‐model evaluation of tides, waves, and hurricane surge in the Gulf of Mexico",2013.0,PC Kerr,92,Library,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1002/jgrc.20376
Hurricane‐induced surge and currents on the Texas‐Louisiana shelf,1992.0,SR Signorini,22,Library,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/90JC02191
Effects of Hurricane Ike on the Louisiana–Texas coast from satellite and model data,2011.0,EJ D'sa,24,Francis,https://www.tandfonline.com/doi/abs/10.1080/01431161.2010.489057
"… network for modeling compound flood hazard from riverine and coastal interactions at the catchment scale: An application to the Houston Ship Channel, Texas",2018.0,A Couasnon,84,mdpi.com,https://www.mdpi.com/2073-4441/10/9/1190
