title,abstract,year,citationCount,url,paperId,authors
"An Assemblage of Fleas (Siphonaptera) From Canada, México, and the United States of America, in the Hastriter Collecton (Brigham Young University)","ABSTRACT An accumulation of fleas that constitute the Hastriter flea collection includes accounts/records of 167 species over 48 years. These officially belong to the Brigham Young University flea collection. They are summarized in this treatise with identifications of new state, county, and provicincial records from the United States, Canada, and some species that extend south into México. Records included are represented by eight families that are presented in alphabetical order (Ceratophyllidae, Ctenopthalmidae, Hystrichopsyllidae, Ischnopsyllidae, Leptopsyllidae, Pulicidae, Rhopalopsyllidae, and Vermipsyllidae). Major synonomies are provided with each species (excluding very common and cosmopolitan species) with major political subdivisions following each reference/pagination. Two appendices are included that list important references (not included in synonomies) (Appendix I) and a listing of synonyms for the family Ceratophyllidae (Appendix II). Four tables are included that list new geographical records and one table that notes new host records. Seventy-eight flea species (some of the same species were new for different state, county and provincial records) accounted for 129 new U.S. state or Canadian provincial records. These also included 12 new state records. An additional 15 new host records for 13 different flea species were documented. To aid future investigations, significant research findings such as disease investigations, zoonotic disease control measures, seasonal bionomics, et cetera are annotated in the remarks.",2023,1,https://www.semanticscholar.org/paper/231653aa341f4da2e2aab1103e4f8e4c77e812a7,231653aa341f4da2e2aab1103e4f8e4c77e812a7,"[{'authorId': '5702199', 'name': 'M. Hastriter'}]"
"Challenges in and Opportunities for International Collaboration: Costing Flood Damages and Losses across Canada, Mexico, and the United States","
Flooding, including inland and coastal flooding, is one of the most devastating and costly natural hazards in Canada, Mexico, and the United States. Recent research conducted by an international team has focused on understanding the true and comprehensive economic costs of floods, with an eye towards addressing their impacts, allocating adequate resources for monitoring and preparedness, and building resilient communities. Flood-costing methods vary greatly among federal and sub-national jurisdictions across the three North American countries. Because the rigor and consistency of existing datasets across the three countries vary significantly, it is also difficult to determine the economic impacts of cross-border events. This paper aims to critically analyze the research methods used to conduct this trinational project and develop recommendations for enhancing impacts of such work in future. We discuss three major research barriers: gaps in knowledge and research capacity; differences in data collation and analysis methods across the three countries; and, linguistic barriers in working across disciplines and economic sectors. We also explore how the COVID-19 pandemic significantly added to these three barriers. We propose creation of new institutional mechanisms that can play a major role in developing comprehensive, consistent, and cohesive data gathering approaches in Canada, Mexico, and the United States.",2023,0,https://www.semanticscholar.org/paper/223974bc1daa69bcb2db7497a823004218efd906,223974bc1daa69bcb2db7497a823004218efd906,"[{'authorId': '15329479', 'name': 'Z. Adeel'}, {'authorId': '11547546', 'name': 'Laura A. Bakkensen'}, {'authorId': '2104775710', 'name': 'Orlando Cabrera-Rivera'}, {'authorId': '2055757503', 'name': 'Ernesto Franco'}, {'authorId': '6674154', 'name': 'G. Garfin'}, {'authorId': '48191121', 'name': 'R. McPherson'}, {'authorId': '78090020', 'name': 'K. Méndez'}, {'authorId': '2205550154', 'name': 'Xin Wen'}]"
"Review of terrestrial temporarily conserved areas in Canada, the United States, and Mexico","The establishment of protected areas is a cornerstone of conservation, but permanent protection could be inefficient or even impossible in some situations. We synthesized the literature on temporarily conserved areas (TCAs) across Canada, the United States, and Mexico. We used a comprehensive search string to retrieve peer‐reviewed articles published from 2000 to 2021 from the Web of Science. We identified 27 relevant peer‐reviewed articles that examined the potential benefits of TCAs in the study area, indicating TCA is a relatively understudied area of research in the peer‐reviewed literature. The TCA studies were highly clustered; 77% of studies focused on protecting a single life stage of migratory species and 61% of studies related to temporary conservation of breeding or staging habitats for migratory birds. Ninety‐three percent of studies focused on preventing human‐driven threats, mainly on public lands of coastal areas, the Great Plains, and the Mississippi Valley in the central United States. Short‐term and experimental studies were the dominant study types. TCAs have the potential to complement permanently protected areas and provide protection when permanent protection is difficult. Some included studies examined their conservation value, but the ecological, social, and economic outcomes of TCAs are unclear. More TCA research is needed to determine the role they could play in conservation worldwide. Embracing the concept of TCAs as conservation tool could lead to more comprehensive and consistent reporting of the outcomes of temporary area‐based conservation measures. However, a global review and analysis of effectiveness of TCAs will be required if they are to play a formal role in meeting international targets for biodiversity conservation.",2023,0,https://www.semanticscholar.org/paper/b45f6009347dea1aab7f2a21fa208d3e204620af,b45f6009347dea1aab7f2a21fa208d3e204620af,"[{'authorId': '2205550154', 'name': 'Xin Wen'}, {'authorId': '100906556', 'name': 'J. Bennett'}, {'authorId': '5784853', 'name': 'T. Rytwinski'}, {'authorId': '105043442', 'name': 'S. Karimi'}, {'authorId': '2230383207', 'name': 'Matthew Spetka'}, {'authorId': '1400361539', 'name': 'Jessica J. Taylor'}, {'authorId': '2215978189', 'name': 'Paul A. Smith'}]"
"Prevalence and Severity of Food Insecurity Before and During the Coronavirus Disease 2019 Pandemic Among Adults and Youth in Australia, Canada, Chile, Mexico, the United Kingdom, and the United States",,2023,3,https://www.semanticscholar.org/paper/0422b933d3b79ab84cccf69f14211b32f471169c,0422b933d3b79ab84cccf69f14211b32f471169c,"[{'authorId': '2051792910', 'name': 'Alexandra Pepetone'}, {'authorId': '4836996', 'name': 'E. Frongillo'}, {'authorId': '3773415', 'name': 'K. Dodd'}, {'authorId': '2164883464', 'name': 'Michael Wallace'}, {'authorId': '2095416689', 'name': 'David Hammond'}, {'authorId': '3672758', 'name': 'S. Kirkpatrick'}]"
Rabies surveillance in the United States during 2021.,"OBJECTIVE
To provide epidemiological information on the occurrence of animal and human rabies in the US during 2021 and summaries of 2021 rabies surveillance for Canada and Mexico.


PROCEDURES
State and territorial public health departments and USDA Wildlife Services provided data on animals submitted for rabies testing in 2021. Data were analyzed temporally and geographically to assess trends in domestic animal and wildlife rabies cases.


RESULTS
During 2021, 54 US jurisdictions reported 3,663 rabid animals, representing an 18.2% decrease from the 4,479 cases reported in 2020. Texas (n = 456 [12.4%]), Virginia (297 [8.1%]), Pennsylvania (287 [7.8%]), North Carolina (248 [6.8%]), New York (237 [6.5%]), California (220 [6.0%]), and New Jersey (201 [5.5%]) together accounted for > 50% of all animal rabies cases reported in 2021. Of the total reported rabid animals, 3,352 (91.5%) involved wildlife, with bats (n = 1,241 [33.9%]), raccoons (1,030 [28.1%]), skunks (691 [18.9%]), and foxes (314 [8.6%]) representing the primary hosts confirmed with rabies. Rabid cats (216 [5.9%]), cattle (40 [1.1%]), and dogs (36 [1.0%]) accounted for 94% of rabies cases involving domestic animals in 2021. Five human rabies deaths were reported in 2021.


CLINICAL RELEVANCE
The number of animal rabies cases reported in the US decreased significantly during 2021; this is thought to be due to factors related to the COVID-19 pandemic.",2023,16,https://www.semanticscholar.org/paper/e50f963fe50dfa994a23b7f4232063a5ae330aa9,e50f963fe50dfa994a23b7f4232063a5ae330aa9,"[{'authorId': '93646026', 'name': 'Xiaoyue Ma'}, {'authorId': '118345854', 'name': 'Sarah Bonaparte'}, {'authorId': '152938438', 'name': 'P. Corbett'}, {'authorId': '4216439', 'name': 'L. Orciari'}, {'authorId': '35173950', 'name': 'C. Gigante'}, {'authorId': '144802138', 'name': 'Jordona D. Kirby'}, {'authorId': '39256355', 'name': 'R. Chipman'}, {'authorId': '1402067721', 'name': 'C. Fehlner-Gardiner'}, {'authorId': '151399537', 'name': 'C. Thang'}, {'authorId': '14881291', 'name': 'V. G. Cedillo'}, {'authorId': '1422131951', 'name': 'N. Aréchiga-Ceballos'}, {'authorId': '36510015', 'name': 'A. Rao'}, {'authorId': '31577580', 'name': 'R. Wallace'}]"
"Homochlodes Hulst, 1896, a Single Species in the United States and Canada (Geometridae, Ennominae)","The three species of Homochlodes Hulst of the eastern United States and Canada are recognized as a single species: Homochlodes fritillaria (Guenée, [1858]). Homochlodes disconventa (Walker, 1860) rev. stat. and Homochlodes lactispargaria (Walker, 1861) rev. stat. are re-synonymized with Homochlodes fritillaria. The recognition of H. fritillaria as a single taxon is supported by DNA (COI) barcodes, lack of disambiguating genitalic characters, and highly variable adult markings (Fig. 4) that do not consistently differentiate the currently recognized species. The adult variation, genetic data, and taxonomic history of this genus north of Mexico are discussed.",2023,0,https://www.semanticscholar.org/paper/ab3d9f006e1ba2823be0cf88782fbe983d0a76d2,ab3d9f006e1ba2823be0cf88782fbe983d0a76d2,"[{'authorId': '47644120', 'name': 'Tanner A. Matson'}, {'authorId': '2218239090', 'name': 'Hugh D. Mcguinness'}]"
Safety guidelines for youth agricultural work in the United States: A description of the development and updating process,"To reduce the prevalence of youth injuries and fatalities in agricultural settings, safety professionals considered developing a guideline-focused intervention for how and when youth should conduct farm chores. In 1996, the process to create guidelines started, which then expanded to include professionals from the United States, Canada, and Mexico. This team used a consensus driven approach to develop the guidelines and launch the North American Guidelines for Children’s Agricultural Tasks. By 2015, research related to the published guidelines indicated a need to incorporate new empirical evidence and develop dissemination plans based on new technologies. The process for updating the guidelines was supported by a 16-person steering committee and used content experts and technical advisors. The process yielded updated and new guidelines, now called Agricultural Youth Work Guidelines. This report responds to request for further details on the development and update of the guidelines and describes the genesis of the guidelines as an intervention, the process for creating guidelines, recognition of the need to update guidelines based on research, and the process for updating guidelines to assist in others engaged in similar types of interventions.",2023,0,https://www.semanticscholar.org/paper/e25cab4673f9e49c0496c20b4f6b4ded8003c11a,e25cab4673f9e49c0496c20b4f6b4ded8003c11a,"[{'authorId': '47949199', 'name': 'Andrea V. R. Swenson'}, {'authorId': '16789592', 'name': 'Marsha Salzwedel'}, {'authorId': '2214646118', 'name': 'Cassandra Peltier'}, {'authorId': '1838865', 'name': 'B. Lee'}]"
Research on the International Law of Economic Sanctions Involved in the Uyghur Forced Labor Prevention Acts of the United States,"The sanctions target of the Uyghur Forced Labor Prevention Act (2019-2020), the Uyghur Forced Labor Prevention Act (2021-2022) and the Strengthening the Uyghur Forced Labor Prevention Act (2023-2024) is to enable China to end the alleged large-scale detention, forced labor and any other serious violations. The economic sanctions imposed by the United States on Xinjiang include unilateral economic sanctions and multilateral economic sanctions jointly with Canada and Mexico, which are comprehensive sanctions against Xinjiang, and are industrial sanctions and targeted sanctions for other countries whose related activities have no connection point with the United States. Based on the theory of universal jurisdiction expansion, the United States proposed that Xinjiang violated its obligations to the entire international community. Any country has the right to take sanctions to urge the Xinjiang government to stop its alleged illegal acts. The theories of obligations to the international community as a whole and responsibility to protect are actually a revision of the original theory of humanitarian intervention. China uses objective descriptive words to restore the truth and break the vocabulary trap of Western values. The political and economic pressure exerted by the United States on China made Xinjiang comply with the controversial international law to change its non-existent behavior, and the most vulnerable groups in Xinjiang suffered the collateral impact of economic sanctions. The economic sanctions imposed by the United States on Xinjiang have eroded the WTO principle and trade liberalization. The Provisions on the Unreliable Entity List, the Rules on Counteracting Unjustified Extra-territorial Application of Foreign Legislation and Other Measures, and the Anti-foreign Sanctions Law of China constitute China’s anti-sanctions legal system. China had announced that it would implement corresponding anti-sanctions measures against institutions and individuals involved in Xinjiang issues.",2023,0,https://www.semanticscholar.org/paper/a69d9e97a6da38adc483638249f75cebf61a63b6,a69d9e97a6da38adc483638249f75cebf61a63b6,"[{'authorId': '2268380252', 'name': 'Rongting Zhang'}]"
The evolution of Donald Trump's policy towards big business in the United States in 2017-2019,"Donald Trump, who was elected president in 2016, positioned himself as a president who cares about American industry and jobs for Americans. His relations with big businesses during the first period of his presidency in 2017-19 can be described as quite optimistic. The administration has adjusted the work of the Council of Corporations, involving the ""captains of business"" in discussing the future economic strategy of the republican team. The conclusion of a new trade agreement with Canada and Mexico (USMCA) inspired big business, nevertheless, by the end of 2019, serious problems were outlined. ",2023,0,https://www.semanticscholar.org/paper/6b1dfadb0c0b01532ed1d0d3d0bcbc613655be5c,6b1dfadb0c0b01532ed1d0d3d0bcbc613655be5c,"[{'authorId': '2276075998', 'name': 'Vadim Kozlov'}]"
Supply Diversity in Subscription Video-on-Demand Platforms in Mexico and Canada,"Background: Using the term “cultural diversity” as an analytical framework and normative guideline to assess cultural flows, this article analyzes the catalogs of major platforms for subscription video-on-demand (SVOD) in Mexico and Canada. Analysis: This study systematized the catalogs’ content titles to produce statistics on country of origin as indicators of “supply diversity.” Conclusions and implications: The results reveal that (1) content from the United States and Europe predominates; (2) tech platforms offer a higher degree of international content (“external diversity”) than platforms from traditional Hollywood studios and local companies; and (3) for most platforms, local content is scarce, which could indicate lower “internal diversity.”",2023,1,https://www.semanticscholar.org/paper/49b42134923d11c3a0b9eeea3c264b8784187bdc,49b42134923d11c3a0b9eeea3c264b8784187bdc,"[{'authorId': '1783432059', 'name': 'Argelia Muñoz Larroa'}]"
