title,abstract,year,citationCount,url,paperId,authors
A scoping review of triatomine control for Chagas disease prevention: current and developing tools in Latin America and the United States.,"Chagas disease is an infectious disease of human and animal health concern, with 6-8 million chronic human infections and over 50,000 deaths throughout the Americas annually. Hematophagous insects of the subfamily Triatominae, also called kissing bugs, vector the protozoan parasite, Trypanosoma cruzi Chagas (Trypanosomatida: Trypanosomatidae), that causes Chagas disease. Despite the large human health burden, Chagas disease is a neglected tropical disease with inadequate funding for research and preventive practices. Given the resource-poor environment of most agencies trying to protect public health, it is critical to consider all control options for reducing vector populations and the risk of human exposure to T. cruzi to identify the most appropriate tools for each context. While numerous triatomine control methods exist, the literature lacks a compilation of the strategies used, a critical examination of their efficiency, and a particular focus on triatomine control in the United States compared to elsewhere in the Americas. Here, we present a review of the literature to assess historical intervention strategies of existing and developing triatomine control methods. For each method, we discuss progress in the field, future research to further advance the method, and limitations. While we found that pyrethroid insecticide is still the most commonly used method of triatomine and Chagas disease control, we suggest that complementing these techniques with alternative control methods in development will help to achieve Chagas disease reduction goals.",2024,0,https://www.semanticscholar.org/paper/d60aeb4fa06a1ecf143960a7e3163f4a04ce0560,d60aeb4fa06a1ecf143960a7e3163f4a04ce0560,"Yuexun Tian, Cassandra Durden, G. Hamer"
"Characteristics and Adverse Events of Patients for Whom Nifurtimox Was Released Through CDC-Sponsored Investigational New Drug Program for Treatment of Chagas Disease — United States, 2001–2021","Chagas disease, or American trypanosomiasis, is caused by the parasite Trypanosoma cruzi. Chagas disease is endemic in rural areas of Latin America, but T. cruzi, triatomine vectors, infected mammalian reservoir hosts, and rare cases of autochthonous vector borne transmission have been reported in the United States (1). Possible modes of transmission include the following: vector borne via skin or mucosal contact with feces of infected triatomine bugs, congenital, blood transfusion, organ transplantation, or laboratory accident. Chagas disease can be treated with benznidazole (commercially available since May 14, 2018) or nifurtimox (2). Before January 25, 2021, nifurtimox (Lampit) had been exclusively available through CDC under an Institutional Review Board-approved Investigational New Drug (IND) treatment protocol, at which time it became reasonably accessible to health care providers outside of the program. This report summarizes CDC Drug Service reports for selected characteristics of and adverse events reported by 336 patients for whom nifurtimox was requested under the CDC IND program during January 1, 2001-January 25, 2021. Of the 336 patients, 34.2% resided in California. Median age of patients was 37 years (range = 1-78 years). Most patients were aged ≥18 (91.8%; 305 of 332) and Hispanic (93.2%; 290 of 311). Among the patients with available information, 91.4% (222 of 243) reported an adverse event. Among those with information about the severity of their adverse events, 20.5% reported a severe event. On August 7, 2020, the Food and Drug Administration (FDA) announced approval of a nifurtimox product, Lampit (Bayer), for treatment of Chagas disease in patients aged <18 years weighing ≥5.5 lbs (≥2.5 kg). Lampit became commercially available during October 2020. Physicians should take frequency of adverse events into consideration when prescribing nifurtimox and counseling patients.",2022,7,https://www.semanticscholar.org/paper/a55ede925b8e264e30ae1c99a141387a3f839976,a55ede925b8e264e30ae1c99a141387a3f839976,"Andrew Abbott, S. Montgomery, R. Chancey"
Chagas Disease Expands Its Epidemiological Frontiers From Rural to Urban Areas,"The infection with the hemoflagellate parasite Trypanosoma cruzi originates from America where the wildlife cycle remains to alternate between mammals and hematophagous triatomines. Transmission through contamination of the bite site by vector feces containing highly infectious forms of parasite or direct ingestion of T. cruzi-infected triatomines appear to be the dominant transmission mechanisms. Man joins the transmission when he enters this wild environment or takes the leaves of palms carrying vectors to build houses. Rural Chagas disease develops associated with populations of low economic resources, with infection and reinfection of vector bites since childhood, and the consequent evolution toward chronic cases in adults, when there is little therapeutic benefit to infected people. The progressive migration of people from rural to urban areas and the adaptation of vectors to the peripheries of cities due to displacement caused by deforestation or urbanization that has favored the presence of enzootic cycles with Panstrongylus geniculatus as the most widely distributed species and mammals (synanthropic and domestic) allow vector transmission by ingestion of food contaminated with excrements containing infectious trypomastigotes as the dominant transmission mechanism in the urban environment. Human-to-human transmissions through vertical mother–child infection, transfusions, organ transplants, and the possibility of sexual transmission, transform the epidemiology and the clinical evolution of Chagas disease in the urban environment. Vectors of American trypanosomiasis are no longer restricted to the endemic area, but its presence has been demonstrated in nonendemic areas of the United States, Asia, and other latitudes. The worldwide plague of bedbugs (Cimex lectularius) threatens the possibility of expansion of transmission since they are vectors susceptible to infection, transmission to mammals, trans-stadial penetration, and not being affected by T. cruzi infection at least experimentally. These factors, added to the presence of an unknown number of migrating Latin American asymptomatic carriers together with the presence of triatomines in other continents, have initiated the globalization of a pathology originating in the American continent. Only with an integrative approach, based on new and better tolerated and efficient drugs, vaccines and residual action insecticides, all of them included in an epidemiological surveillance program.",2022,6,https://www.semanticscholar.org/paper/90205472a4d823fdb813ab53ac285da2c1d15fcc,90205472a4d823fdb813ab53ac285da2c1d15fcc,"B. Alarcón de Noya, Z. Díaz-Bello, Raiza Ruiz-Guevara, O. Noya"
"Southwestern national park service employee risk, knowledge, and concern for triatomine exposure: A qualitative analysis using a novel knowledge, attitudes, and practices survey","Chagas disease (CD), caused by the parasite Trypanosoma cruzi, is a neglected parasitic infection in the United States (US). In the Southwestern US, National Park Service (NPS) employees are a unique population with potential exposure to CD. This population lives in close contact with several species of sylvatic triatomine bugs, the vectors of T. cruzi, that may enter residential buildings at night. Despite the higher potential risk of CD transmission for southwestern NPS employees, the socio-cultural factors that impact autochthonous CD transmission in the US remain unknown. To address this gap, we investigated how NPS employee knowledge and attitudes impact their triatomine preventive behaviors. We distributed a 42-item online questionnaire to NPS employees at four national parks in Arizona and Texas. We detected high self-reported bite exposure in NPS housing, despite moderate- to high-frequency of prevention behaviors. Specific behaviors, such as often or always repairing window screens, were associated with a decreased risk of putative triatomine bug exposure. Additionally, NPS employees had low knowledge of CD. For those with greater knowledge of CD, it was not associated with increased frequency of prevention behavior. We found that increased CD anxiety was associated with increased personal agency to reduce the risk of CD. These results demonstrate the influence of knowledge and attitudes regarding CD on triatomine prevention behavior within a potential high-risk population in the US, and the importance of utilizing strategies beyond provision of education to influence behaviors.",2022,2,https://www.semanticscholar.org/paper/73f6e701cf4b79b5902c50c09d9af53efb2e46d6,73f6e701cf4b79b5902c50c09d9af53efb2e46d6,"Antonio Alvarado, Emily M. Mader, D. Buttke, L. Harrington"
"Collection of triatomines from sylvatic habitats by a Chagas-positive, trained scent-detection canine in Texas, USA","Background Triatomine insects, vectors of the etiologic agent of Chagas disease (Trypanosoma cruzi), are challenging to locate in sylvatic habitats. Collection techniques used in the United States often rely on methods to intercept seasonally dispersing adults or on community scientists’ encounters. Neither method is suited for detecting nidicolous habitats, which is important for vector control. Furthermore, manual inspection of suspected harborages is unlikely to reveal novel locations and host associations. Similar to a team that used a trained dog to detect sylvatic triatomines in Paraguay, we worked with a trained scent detection dog to detect sylvatic locations of triatomines across Texas. Principle methodology/Findings Ziza, a 3-year-old German Shorthaired Pointer previously naturally infected with T. cruzi, was trained to detect triatomines. Over the course of 6 weeks in the fall of 2017, the dog and her handler visited 18 sites across Texas. The dog detected 60 triatomines at 7 locations; an additional 50 triatomines were contemporaneously collected at these sites without the assistance of the dog. Approximately 0.98 triatomines per hour were found when only humans were conducting searches; when working with the dog, approximately 1.71 triatomines per hour were found. In total, 3 adults and 107 nymphs of four species (Triatoma gerstaeckeri, Triatoma protracta, Triatoma sanguisuga, and Triatoma indictiva) were collected. PCR testing of a subset revealed T. cruzi infection, including DTUs TcI and TcIV, in 28% of nymphs (n=100) and 66% of adults (n=3). Blood meal analysis of a subset of triatomines (n=5) revealed feeding on Virginia opossum (Didelphis virginiana), Southern plains woodrat (Neotoma micropus) and eastern cottontail (Sylvilagus floridanus). Conclusion/Significance A trained scent detection dog enhanced triatomine detections in sylvatic habitats. This approach is especially effective at detecting triatomine nymphs and nidicolous locations. With new knowledge of specific sylvatic habitats and key hosts fed upon by triatomines, there are opportunities for continued exploration of novel vector control methods to block the transmission of T. cruzi to humans and domestic animals. Author summary Triatomine insects, also known as ‘kissing bugs,’ are vectors of Trypanosoma cruzi, the parasite that causes Chagas disease in humans, dogs, and other mammals. Triatomines are found throughout the Americas, but little is known about where these blood-sucking insects spend their early life stages. Knowing more is important to vector control initiatives aimed at interrupting Chagas disease transmission. Scent detection dogs have been trained to detect many pests, including one study of a triatomine detection dog in South America. In this study, we used a dog to detect triatomines in their natural environments throughout Texas. Over 6 weeks, the dog identified 60 triatomines at 7 different locations; an additional 50 triatomines were collected without the dog’s assistance. Nearly twice as many triatomines were collected per hour when the dog was searching as compared to only humans searching. Of all the triatomine nymphs collected, 28% were positive for T. cruzi, and the blood meal analysis revealed kissing bugs had fed on Southern plains woodrat, opossum, and eastern cottontail. This study outlines a strategy that can be replicated in the United States to enhance the detection and control of habitats where triatomines spend their early life stages.",2022,0,https://www.semanticscholar.org/paper/81653bf4e4d8fbc558f1477075736402f279760a,81653bf4e4d8fbc558f1477075736402f279760a,"Devin M. Christopher, R. Curtis-Robles, G. Hamer, Justin R Bejcek, A. Saunders, Walter D. Roachell, T. Cropper, S. Hamer"
"Identification of the parasite, Trypanosoma cruzi, in multiple tissues of epidemiological significance in the Virginia opossum (Didelphis virginiana): Implications for environmental and vertical transmission routes","Background Trypanosoma cruzi, a parasitic protozoan, is endemic to the Americas and the causative agent of Chagas disease in humans. In South America, opossums facilitate transmission via infected anal gland secretions in addition to transmission via triatomine vectors. In North America, the Virginia opossum is a reservoir host for the parasite with transmission routes that are not clearly defined. The unique biology of this marsupial provides the opportunity to investigate vertical transmission in this wildlife species in situ. Our objectives were to investigate alternative routes of transmission that may facilitate spillover into other species and to determine if vertical transmission was evident. Methodology/Principal findings Virginia opossums were sampled at 10 trapping locations over a 10-month period in a 5-county region of north central Florida. Peripheral blood, fecal swabs, and anal gland secretions were collected from each adult individual, and peripheral blood was collected from joey opossums. Total DNA was extracted from each collected sample type, and T. cruzi infected individuals and the infecting Discrete Typing Unit (DTU) were identified using real time PCR methods. Adult Virginia opossums (n = 112) were infected with T. cruzi (51.8%, 95% CI [42.6–60.8%]) throughout the sampled period and at each location. T. cruzi DNA was found in each of the three biological sample types. Vertical transmission of T. cruzi was inferred in one litter of mother-dependent (n = 20, 5.0%, 95% CI [0.9–23.6%]) joey opossums where 2 joeys from this same litter were rtPCR positive for T. cruzi. Conclusions/Significance We inferred vertical transmission from mother to neonate which may serve to amplify the prevalence of T. cruzi in adult Virginia opossums. T. cruzi DNA was detected in the anal gland secretions of Virginia opossums. Infected anal gland secretions suggest a possible environmental route of transmission for T. cruzi via the deposition of contaminated feces and spraint at wildlife latrines. Only DTU1 was identified in the sampled population which is consistent with human autochthonous cases in the United States.",2022,4,https://www.semanticscholar.org/paper/4c2c8021db84262f54ccfc168adab67c239f4481,4c2c8021db84262f54ccfc168adab67c239f4481,"Carson W. Torhorst, Zoe S. White, Chanakya R. Bhosale, Norman L. Beatty, S. Wisely"
"Prevalence of Trypanosoma cruzi, the Etiologic Agent of Chagas Disease, Infection in Texas Skunks (Mammalia: Mephitidae).","Background: Chagas disease is one of the world's most neglected tropical diseases, infecting over six million people across the Americas. The hemoparasite Trypanosoma cruzi is the etiological agent for the disease, circulating in domestic, peridomestic, and sylvatic transmission cycles that are maintained by triatomine vectors and a diversity of wild and synanthropic hosts. Public health and wildlife management interventions targeting the interruption of T. cruzi transmission rely on an understanding of the dynamics driving the ecology of this zoonotic pathogen. One wildlife host that purportedly plays a role in the transmission of Chagas disease within the southern United States is the striped skunk (Mephitis mephitis), although infection prevalence in this species is poorly understood. Materials and Methods: To this end, we conducted a PCR-based surveillance of T. cruzi in 235 wild skunks, representing 4 species, across 76 counties and 10 ecoregions in Texas, United States, along with an evaluation of risk factors associated with the infection. Results: We recovered an overall T. cruzi prevalence of 17.9% for all mephitid taxa aggregated, ranging between 6.7% for plains spotted skunks (Spilogale putorius interrupta) and 42.9% for western spotted skunks (Spilogale gracilis). We report the first cases of T. cruzi infection in plains spotted and American hog-nosed skunks (Conepatus leuconotus), of important note for conservation medicine since populations of both species are declining within Texas. Although not statistically significant, we also detected trends for juveniles to exhibit greater infection risk than adults and for differential sex biases in T. cruzi prevalence between taxa, which align with variations in species-specific seasonal activity patterns. No geographic or taxonomic risk factors were identified. Conclusion: Our study contributed key data for population viability analyses and epidemiologic models in addition to providing a baseline for future T. cruzi surveillance among skunks and other wildlife species.",2023,0,https://www.semanticscholar.org/paper/c253b02df938be5b4cac1060dcbf363573b69e1a,c253b02df938be5b4cac1060dcbf363573b69e1a,"Bonnie E Gulas-Wroblewski, Rodion Gorchakov, Rebecca B Kairis, R. Dowler, K. Murray"
Chagas Disease,"Chagas disease, which is caused by infection with the parasite Trypanosoma cruzi, is a leading neglected tropical disease in the United States. An estimated 240 000 to 350 000 persons in the United States are infected, primarily immigrants from Mexico, Central America, and South America, where the disease is endemic. The parasite is transmitted by the triatomine bug but can also be passed through blood transfusion, via organ transplant, or congenitally. Approximately 30% of infected persons later develop cardiac and/or gastrointestinal complications. Health care providers should consider screening at-risk patients with serologic testing. Early diagnosis and treatment with benznidazole or nifurtimox can help prevent complications.",2023,10,https://www.semanticscholar.org/paper/f06a9ee8668674184acd43a6f3b4dc1780387bbd,f06a9ee8668674184acd43a6f3b4dc1780387bbd,"N. Hochberg, S. Montgomery"
"Collection of triatomines from sylvatic habitats by a Trypanosoma cruzi-infected scent detection dog in Texas, USA","Background Triatomine insects, vectors of the etiologic agent of Chagas disease (Trypanosoma cruzi), are challenging to locate in sylvatic habitats. Collection techniques used in the United States often rely on methods to intercept seasonally dispersing adults or on community scientists’ encounters. Neither method is suited for detecting nest habitats likely to harbor triatomines, which is important for vector surveillance and control. Furthermore, manual inspection of suspected harborages is difficult and unlikely to reveal novel locations and host associations. Similar to a team that used a trained dog to detect sylvatic triatomines in Paraguay, we worked with a trained scent detection dog to detect triatomines in sylvatic locations across Texas. Principle methodology/Findings Ziza, a 3-year-old German Shorthaired Pointer previously naturally infected with T. cruzi, was trained to detect triatomines. Over the course of 6 weeks in the fall of 2017, the dog and her handler searched at 17 sites across Texas. The dog detected 60 triatomines at 6 sites; an additional 50 triatomines were contemporaneously collected at 1 of these sites and 2 additional sites without the assistance of the dog. Approximately 0.98 triatomines per hour were found when only humans were conducting searches; when working with the dog, approximately 1.71 triatomines per hour were found. In total, 3 adults and 107 nymphs of four species (Triatoma gerstaeckeri, Triatoma protracta, Triatoma sanguisuga, and Triatoma indictiva) were collected. PCR testing of a subset revealed T. cruzi infection, including DTUs TcI and TcIV, in 27% of nymphs (n = 103) and 66% of adults (n = 3). Bloodmeal analysis of a subset of triatomines (n = 5) revealed feeding on Virginia opossum (Didelphis virginiana), Southern plains woodrat (Neotoma micropus), and eastern cottontail (Sylvilagus floridanus). Conclusion/Significance A trained scent detection dog enhanced triatomine detections in sylvatic habitats. This approach is effective at detecting nidicolous triatomines. Control of sylvatic sources of triatomines is challenging, but this new knowledge of specific sylvatic habitats and key hosts may reveal opportunities for novel vector control methods to block the transmission of T. cruzi to humans and domestic animals.",2023,1,https://www.semanticscholar.org/paper/63efdda6fef9eece724a101a045d62d868d0977d,63efdda6fef9eece724a101a045d62d868d0977d,"Devin M. Christopher, R. Curtis-Robles, G. Hamer, Justin R Bejcek, A. Saunders, Walter D. Roachell, T. Cropper, S. Hamer"
Comparative proteomic analysis of the hemolymph and salivary glands of Rhodnius prolixus and R. colombiensis reveals candidates associated with differential lytic activity against Trypanosoma cruzi I and T. cruzi II,"Background Immune response of triatomines plays an important role in the success or failure of transmission of T. cruzi. Studies on parasite–vector interaction have shown the presence of trypanolytic factors and have been observed to be differentially expressed among triatomines, which affects the transmission of some T. cruzi strains or DTUs (Discrete Typing Units). Methodology/Principal Findings Trypanolytic factors were detected in the hemolymph and saliva of R. prolixus against epimastigotes and trypomastigotes of T. cruzi II. To identify the components of the immune response that could be involved in this lytic activity, a comparative proteomic analysis was carried out, detecting 120 proteins in the hemolymph of R. prolixus and 107 in R. colombiensis. In salivary glands, 1103 proteins were detected in R. prolixus and 853 in R. colombiensis. A higher relative abundance of lysozyme, prolixin, nitrophorins, and serpin as immune response proteins was detected in the hemolymph of R. prolixus. Among the R. prolixus salivary proteins, a higher relative abundance of nitrophorins, lipocalins, and triabins was detected. The higher relative abundance of these immune factors in R. prolixus supports their participation in the lytic activity on T. cruzi II, but not on T. cruzi I, which is resistant to lysis by hemolymph and salivary proteins of R. prolixus due to mechanisms of evading oxidative stress caused by immune factors. Conclusions/Significance T. cruzi I is a DTU distributed from the southern United States to the center of Chile and Argentina, and its successful spread across this range could be related to resistance to oxidative stress in vectors. Future proteomic and transcriptomic studies on vectors and the interactions of the intestinal microbiota with parasites will help to confirm the determinants of successful or failed vector transmission of T. cruzi DTUs in different parts of the Western Hemisphere. Author summary Some factors can facilitate or prevent T. cruzi transmission, i.e. vector immunity. Our work has managed to detect a stronger immune response against T. cruzi II in R. prolixus saliva and haemolymph, compared to that of R. colombiensis. Proteins from both species’ saliva and haemolymph were analysed for studying factors which might have been involved in such response; most proteins were detected in both species’ haemolymph, thereby indicating common immune mechanisms. Three proteins having oxidative immune activity were only expressed in R. prolixus. Lipocalin diversity and abundance predominated in R. prolixus saliva; these proteins are involved in nitric oxide metabolism and their role in immunity could be key in host defence against T. cruzi. Recognising the components modulating parasite transmission in a vector helps in understanding how such factors act independently and how they would act synergistically against T. cruzi, thereby enabling us to establish tools regarding Chaga’s disease epidemiology, aimed at predicting T. cruzi distribution and creating transmission control mechanisms.",2023,1,https://www.semanticscholar.org/paper/f1c910ba8d1dbb8b8269b5411c79eb586b064b7c,f1c910ba8d1dbb8b8269b5411c79eb586b064b7c,"Hamilton J. Barbosa, Yazmin Suárez Quevedo, Arlid Meneses Torres, Gustavo A. Gaitán Veloza, Julio C. Carranza Martínez, Daniel A. Urrea-Montes, Carlos Robello-Porto, G. Vallejo"
