title,abstract,year,citationCount,url,paperId,authors
Trypanosoma cruzi Parasite Burdens of Several Triatomine Species in Colombia,"Trypanosoma cruzi, the causal agent of Chagas disease, is mainly transmitted by insects of the Triatominae subfamily. In Colombia, there are 26 triatomine species, and 16 of them are naturally infected with the parasite. The parasite loads of naturally infected vectors can be significant in targeting specific species that can affect the epidemiology of the disease. Studying their ecology and behavior is vital to understand their role in T. cruzi transmission dynamics. We evaluated the parasite loads of 182 field-collected triatomines corresponding to 10 species in 13 departments across Colombia. We standardized a methodology to quantify T. cruzi DNA in these insects. We obtained a LOD (limit of detection) of 3.05 p-eq/mL. The 82% of triatomines we evaluated were positive for T. cruzi infection, with loads ranging from hundreds to millions of equivalent parasites per milliliter. Panstrongylus geniculatus, Rhodnius prolixus, and Triatoma dimidiata were the species with the highest loads of T. cruzi; however, other species whose role as vectors is still unknown were also found with high loads of parasites. Our results suggest the relevance of secondary species for T. cruzi transmission in Colombia. We hope our data can help improve entomological surveillance and vector control programs in the country and the region.",2022,7,https://www.semanticscholar.org/paper/7c667ebab5eb20037445f4283b323bace7b6b86d,7c667ebab5eb20037445f4283b323bace7b6b86d,"Natalia Velásquez-Ortiz, C. Hernández, Omar Cantillo-Barraza, Nathalia Ballesteros, Lissa Cruz-Saavedra, Giovanny Herrera, L. S. Buitrago, H. Soto, M. Medina, Jatney Palacio, Marina Stella González, Andrés M. Cuervo, G. Vallejo, Liliana Zuleta Dueñas, P. Urbano, M. Muñoz, J. Ramírez"
Blood-Meal Sources and Trypanosoma cruzi Infection in Coastal and Insular Triatomine Bugs from the Atacama Desert of Chile,"Mepraia parapatrica is one of the lesser known and less abundant sylvatic triatomine species naturally infected by the protozoan Trypanosoma cruzi, the etiological agent of Chagas disease. M. parapatrica lives in sympatry with T. cruzi-infected rodents, but only birds, reptiles, and marine mammals have been reported as blood-meal sources of this vector species by serology. The distribution range of this kissing bug overlaps with fishers’ settlements and tourist areas, and therefore the study of the blood-meal sources of this triatomine species is relevant. Here, we determined the blood-meal sources of M. parapatrica by NGS or standard sequencing from a coastal mainland area and an island in northern Chile, and T. cruzi infection by real-time PCR. The blood-meals of. M parapatrica included 61.3% reptiles, 35.5% mammals (including humans) and 3.2% birds. Feeding on reptiles was more frequent on the mainland, while on the island feeding on mammals was more frequent. The presence of T. cruzi-infected triatomine bugs and humans as part of the diet of M. parapatrica in both areas represents an epidemiological threat and potential risk to the human population visiting or established in these areas. Currently there are no tools to control wild triatomines; these results highlight the potential risk of inhabiting these areas and the necessity of developing information campaigns for the community and surveillance actions.",2022,6,https://www.semanticscholar.org/paper/27f56cbfb6292129ffbc95ebd5b842b08bbeaf4a,27f56cbfb6292129ffbc95ebd5b842b08bbeaf4a,"N. Quiroga, J. P. Correa, Ricardo Campos-Soto, E. San Juan, R. Araya‐Donoso, Gabriel Díaz-Campusano, C. González, C. Botto-Mahan"
"RNA as a feasible marker of Trypanosoma cruzi viability during the parasite interaction with the triatomine vector Rhodnius prolixus (Hemiptera, Triatominae)","A recurring question concerning Trypanosoma cruzi DNA detection/quantification is related to the fact that DNA amplification, by itself, does not differentiate between viable or dead parasites. On the other hand, RNA can be considered a potential molecular marker of pathogens viability. Herein, we developed a quantitative real-time PCR with reverse Transcription (RT-qPCR) to quantify viable T. cruzi in artificially infected Rhodnius prolixus whilst evaluating differences between DNA and mRNA quantification along the insect midgut during 5, 9, 15 and 29 days after feeding. The RT-qPCR presented an improved performance with linearities ranging from 107 to 102 parasites equivalents and 3 to 0.0032 intestine unit equivalents, and efficiencies of 100.3% and 102.8% for both T. cruzi and triatomine targets, respectively. Comparing both RT-qPCR and qPCR, we confirmed that RNA is faster degraded, no longer being detected at day 1 after parasite lysis, while DNA detection was stable, with no decrease in parasite load over the days, even after parasite lysis. We also observed statistical differences between the quantification of the parasite load by DNA and by RNA on day 15 after feeding of experimentally infected R. prolixus. When assessing different portions of the digestive tract, by RT-qPCR, we could detect a statistically significant reduction in the parasite amount in the anterior midgut. Oppositely, there was a statistically significant increase of the parasite load in the hindgut. In conclusion, for this study parasite’s viability in R. prolixus digestive tract were assessed targeting T. cruzi mRNA. In addition, differences between DNA and RNA detection observed herein, raise the possibility that RNA is a potential molecular viability marker, which could contribute to understanding the dynamics of the parasite infection in invertebrate hosts.",2022,1,https://www.semanticscholar.org/paper/50f679878360a9643cda6763e4fda9a3465decf9,50f679878360a9643cda6763e4fda9a3465decf9,"Paula Finamore-Araujo, Gabriel Lucio Silva da Fonseca, C. S. Vieira, Daniele Pereira de Castro, O. Moreira"
The Parasite Load of Trypanosoma cruzi Modulates Feeding and Defecation Patterns of the Chagas Disease Vector Triatoma infestans,"Trypanosoma cruzi is the causal agent of Chagas disease, a parasitic zoonosis transmitted mainly through the feces of triatomine insects. Triatoma infestans is the main triatomine vector of this disease in South America. Previous research has shown that T. cruzi infection modifies the behavior of triatomines. We evaluated, for the first time, the effect of parasite load on feeding and defecation behavior, which we quantified by using real-time PCR. The detection time of the host was shorter in infected individuals, and the number of bites increased, while the dejection time was reduced when compared with the non-infected group. A significant correlation between the parasite load and the behavioral changes registered in the infected triatomines was found. These results would indicate that the intensity of T. cruzi infection modulates the feeding and defecation behavior of T. infestans, increasing the vector competence of this triatomine vector.",2022,4,https://www.semanticscholar.org/paper/8fe6d3427cf59f713be01e42cf8bca5697ff4756,8fe6d3427cf59f713be01e42cf8bca5697ff4756,"F. Chacón, A. Bacigalupo, Bárbara Álvarez-Duhart, Pedro E. Cattan, R. Solís, C. Muñoz-San Martín"
"Enzootic Trypanosoma cruzi infection by Rhodnius prolixus shows transmission to humans and dogs in Vichada, Colombia","Background Rhodnius prolixus is considered the most relevant Trypanosoma cruzi vector in Colombia and Venezuela due it is responsible for domestic transmission in both countries. However, a wild population of this species is distributed in the eastern plains of the Orinoco region and Amazonia jungle, where its epidemiological importance has not been sufficiently elucidated. This study aimed to assess epidemiological parameters of T. cruzi transmission in the Department of Vichada, Colombia. Methods We determined the characteristics of T. cruzi transmission using entomological studies in domestic and sylvatic ecotopes. We analyzed the T. cruzi infection in triatomine insects, identified blood meal sources, and conducted a serological determination of T. cruzi infection in scholar-aged children, domestic dogs, and wild hosts. Results Fifty-four triatomine bugs, 40 T. maculata and 14 R. prolixus were collected in peridomestic and sylvatic ecotopes. Infected R. prolixus was observed in La Primavera, Santa Rosalia, and Cumaribo municipalities. All the T. maculata bugs were not infected. Serological analysis indicated that two of 3,425 children were T. cruzi positive. The seroprevalence in domestic dogs was 10,5% (49/465). Moreover, 22 synanthropic mammals were sampled, being Didelphis marsupialis the most common. TcI genotype was detected in seropositive dogs, R. prolixus, and D. marsupialis. Conclusion The present work describes extra domestic R. prolixus and D. marsupialis in a sylvatic T. cruzi transmission cycle with transmission to humans and domestic dogs in Colombia’s Vichada Department.",2022,4,https://www.semanticscholar.org/paper/257549e5ccf18f564680b584fab37c9a6676725e,257549e5ccf18f564680b584fab37c9a6676725e,"Omar Cantillo-Barraza, C. Solís, Alexander Zamora, Rafael Herazo, María Isabel Osorio, Edilson Garcés, S. Xavier, A. Mejía-Jaramillo, O. Triana-Chávez"
"Interrogating the transmission dynamics of Trypanosoma cruzi (Trypanosomatida, Trypanosomatidae) by Triatoma venosa (Hemiptera: Reduviidae) after the elimination of vector transmission by Rhodnius prolixus in Boyacá eastern Colombia","Graphical Abstract Chagas disease (CD) is a parasitic zoonosis (Trypanosoma cruzi) that is endemic in Colombia. Vector control of Rhodnius prolixus, the main domestic T. cruzi vector, has been achieved in a large part of the area with historically vector transmission of CD. It is necessary to understand the ecological behavior characteristics of local native vectors to ensure sustainability of the vector control programs. To evaluate the long-term success of a recent vector control campaign in the Boyacá department (Colombia), we used a combined strategy of entomological surveillance with co-existing canine surveillance from ten rural villages within six municipalities of the Tenza valley region (Boyacá, Colombia): Chinavita, Garagoa, Guateque, Somondoco, Sutatenza and Tenza, with historical reports of R. prolixus and secondary vectors. Collected triatomines and canine whole blood were analyzed for T. cruzi infection and genotyping. Triatomine bugs specimens were evaluated for blood meal source. Canine serology was performed using two distinct antibody assays. In total, 101 Triatoma venosa were collected by active search in domestic and peridomestic habitats. A natural infection prevalence of 13.9% (14/101) and four feeding sources were identified: human, dog, rat, and hen. A frequency infection of 46.5% (40/87) was observed from two independent serological tests and T. cruzi DNA was detected in 14 dogs (16.4%). Only TcIsylvatic DTU was detected. The results suggest that T. venosa present eco-epidemiological characteristics to maintain the transmission of T. cruzi in Tenza valley. This species has reinfested the intervened households and it has an active role in domestic and peridomestic transmission of T. cruzi due to their infection rates and feeding behavior. Therefore, this species should be considered as epidemiologically relevant for vector control strategies. Moreover, there is a need for human serological studies to have a close up of risk they are exposed to.",2022,3,https://www.semanticscholar.org/paper/9e21f594ecbebceb537909e6edb1a0af13b5db85,9e21f594ecbebceb537909e6edb1a0af13b5db85,"M. Medina, Sara Zuluaga, María Fernanda Martínez, J. Bermúdez, C. Hernández, Virgilio Beltrán, Natalia Velásquez-Ortiz, M. Muñoz, J. Ramírez, O. Triana, Omar Cantillo-Barraza"
"An induced population of Trypanosoma cruzi epimastigotes more resistant to complement lysis promotes a phenotype with greater differentiation, invasiveness, and release of extracellular vesicles","Introduction Chagas disease is a neglected tropical disease caused by Trypanosoma cruzi, which uses blood-feeding triatomine bugs as a vector to finally infect mammalian hosts. Upon entering the host, the parasite needs to effectively evade the attack of the complement system and quickly invade cells to guarantee an infection. In order to accomplish this, T. cruzi expresses different molecules on its surface and releases extracellular vesicles (EVs). Methods Here, we have selected a population of epimastigotes (a replicative form) from T. cruzi through two rounds of exposure to normal human serum (NHS), to reach 30% survival (2R population). This 2R population was characterized in several aspects and compared to Wild type population. Results The 2R population had a favored metacyclogenesis compared with wild-type (WT) parasites. 2R metacyclic trypomastigotes had a two-fold increase in resistance to complementmediated lysis and were at least three times more infective to eukaryotic cells, probably due to a higher GP82 expression in the resistant population. Moreover, we have shown that EVs from resistant parasites can transfer the invasive phenotype to the WT population. In addition, we showed that the virulence phenotype of the selected population remains in the trypomastigote form derived from cell culture, which is more infective and also has a higher rate of release of trypomastigotes from infected cells. Conclusions Altogether, these data indicate that it is possible to select parasites after exposure to a particular stress factor and that the phenotype of epimastigotes remained in the infective stage. Importantly, EVs seem to be an important virulence fator increasing mechanism in this context of survival and persistence in the host.",2022,3,https://www.semanticscholar.org/paper/0d8a52baf1a3506032d8f8ac700b03668049095e,0d8a52baf1a3506032d8f8ac700b03668049095e,"I. Rossi, M. A. Nunes, Bruna Sabatke, H. T. Ribas, S. M. Winnischofer, Augusto S. P. Ramos, J. Inal, M. Ramirez"
"Identification of the parasite, Trypanosoma cruzi, in multiple tissues of epidemiological significance in the Virginia opossum (Didelphis virginiana): Implications for environmental and vertical transmission routes","Background Trypanosoma cruzi, a parasitic protozoan, is endemic to the Americas and the causative agent of Chagas disease in humans. In South America, opossums facilitate transmission via infected anal gland secretions in addition to transmission via triatomine vectors. In North America, the Virginia opossum is a reservoir host for the parasite with transmission routes that are not clearly defined. The unique biology of this marsupial provides the opportunity to investigate vertical transmission in this wildlife species in situ. Our objectives were to investigate alternative routes of transmission that may facilitate spillover into other species and to determine if vertical transmission was evident. Methodology/Principal findings Virginia opossums were sampled at 10 trapping locations over a 10-month period in a 5-county region of north central Florida. Peripheral blood, fecal swabs, and anal gland secretions were collected from each adult individual, and peripheral blood was collected from joey opossums. Total DNA was extracted from each collected sample type, and T. cruzi infected individuals and the infecting Discrete Typing Unit (DTU) were identified using real time PCR methods. Adult Virginia opossums (n = 112) were infected with T. cruzi (51.8%, 95% CI [42.6–60.8%]) throughout the sampled period and at each location. T. cruzi DNA was found in each of the three biological sample types. Vertical transmission of T. cruzi was inferred in one litter of mother-dependent (n = 20, 5.0%, 95% CI [0.9–23.6%]) joey opossums where 2 joeys from this same litter were rtPCR positive for T. cruzi. Conclusions/Significance We inferred vertical transmission from mother to neonate which may serve to amplify the prevalence of T. cruzi in adult Virginia opossums. T. cruzi DNA was detected in the anal gland secretions of Virginia opossums. Infected anal gland secretions suggest a possible environmental route of transmission for T. cruzi via the deposition of contaminated feces and spraint at wildlife latrines. Only DTU1 was identified in the sampled population which is consistent with human autochthonous cases in the United States.",2022,4,https://www.semanticscholar.org/paper/4c2c8021db84262f54ccfc168adab67c239f4481,4c2c8021db84262f54ccfc168adab67c239f4481,"Carson W. Torhorst, Zoe S. White, Chanakya R. Bhosale, Norman L. Beatty, S. Wisely"
Rhodnius prolixus Hemolymph Immuno-Physiology: Deciphering the Systemic Immune Response Triggered by Trypanosoma cruzi Establishment in the Vector Using Quantitative Proteomics,"Understanding the development of Trypanosoma cruzi within the triatomine vector at the molecular level should provide novel targets for interrupting parasitic life cycle and affect vectorial competence. The aim of the current study is to provide new insights into triatomines immunology through the characterization of the hemolymph proteome of Rhodnius prolixus, a major Chagas disease vector, in order to gain an overview of its immune physiology. Surprisingly, proteomics investigation of the immunomodulation of T. cruzi-infected blood reveals that the parasite triggers an early systemic response in the hemolymph. The analysis of the expression profiles of hemolymph proteins from 6 h to 24 h allowed the identification of a broad range of immune proteins expressed already in the early hours post-blood-feeding regardless of the presence of the parasite, ready to mount a rapid response exemplified by the significant phenol oxidase activation. Nevertheless, we have also observed a remarkable induction of the immune response triggered by an rpPGRP-LC and the overexpression of defensins 6 h post-T. cruzi infection. Moreover, we have identified novel proteins with immune properties such as the putative c1q-like protein and the immunoglobulin I-set domain-containing protein, which have never been described in triatomines and could play a role in T. cruzi recognition. Twelve proteins with unknown function are modulated by the presence of T. cruzi in the hemolymph. Determining the function of these parasite-induced proteins represents an exciting challenge for increasing our knowledge about the diversity of the immune response from the universal one studied in holometabolous insects. This will provide us with clear answers for misunderstood mechanisms in host–parasite interaction, leading to the development of new generation strategies to control vector populations and pathogen transmission.",2022,2,https://www.semanticscholar.org/paper/66d71903ebaff7439786d69437bf238c532debda,66d71903ebaff7439786d69437bf238c532debda,"Radouane Ouali, Larissa Rezende Vieira, D. Salmon, Sabrina Bousbata"
"Domestic Triatoma spp. Infections with Trypanosoma cruzi, Household Infestations, and Molecular Identification in Oaxaca, México","Simple Summary Here, we report entomological and parasitological data on triatomine vectors of Trypanosoma cruzi, the agent of Chagas disease, in a highly endemic region of México. The morphological and molecular identification of four principal domestic species, Triatoma phyllosoma, T. barberi, T. mazzotti, and T. dimidiata, was conducted, and their presence in Oaxaca was documented based on observations from this study in comparison to municipality records from prior published studies. We document the highly endophilic behavior of four triatomine species infected with T. cruzi. The present work carried out in Oaxaca was necessary for ongoing efforts to reach the goal of reducing the Chagas disease burden in Mexico and beyond. Abstract In Latin America, Mexico is the country with the second highest annual estimated number of Chagas disease cases, caused by Trypanosoma cruzi, due to vector-borne transmission. The state of Oaxaca is the location of the first documented human cases of Chagas disease in Mexico and contained the highest T. cruzi seropositive rate (3.5%) from blood donors. Here, entomological surveys, from 2017 to 2019, were conducted to collect triatomines in 124 villages of 60 municipalities. Four principal domestic Triatoma spp. (Hemiptera: Triatominae), Triatoma phyllosoma, T. barberi, T. mazzotti, and T. dimidiata, of Oaxaca, Mexico were identified by morphology and molecular analysis of the barcode region of the cytochrome oxidase 1 (cox1 or COI or CO1) gene. A total of 41 out of 83 T. phyllosoma specimens examined by microscopy were positive for T. cruzi (49%), 49 out of 171 for T. barberi (28%), 31 out of 177 for T. mazzotti (17%), and none out of 10 for T. dimidiata (0%). Overall, the infestation index was 3.1% of households containing at least one triatomine; the crowding index was a mean of two Triatoma spp./household; and the colonization index was 0.38 for households based on presence of nymphs. Geographical distribution of triatomines in Oaxaca at the municipality level and endophilic behavior is also reported. Precise identification, endophilic habits, and infection rates of these triatomines are paramount for vector control programs of the Ministry of Health of Oaxaca and beyond.",2022,1,https://www.semanticscholar.org/paper/6d13fc0f182a909da5fd34dde932ca9770e5a8e8,6d13fc0f182a909da5fd34dde932ca9770e5a8e8,"Nadia A Fernandez-Santos, J. C. Trujillo-García, S. Hamer, Lihua Wei, H. Martínez-Montoya, P. Tamez-guerra, G. Hamer, M. Rodríguez‐Pérez"
