title,authors,url,year
TRPA5encodes a thermosensitive ankyrin ion channel receptor in atriatomineinsect,"Marjorie A. Liénard, David Baez-Nieto, Naomi E. Pierce",https://www.sciencedirect.com/science/article/pii/S2589004224007636/pdfft?md5=61cc1cd01de3f4a8f1eaec9d6335aca8&pid=1-s2.0-S2589004224007636-main.pdf,2024
Trypanosoma cruziExtends Its Transmission Through the Foodborne Pathway,"Belkisyolé Alarcón de Noya, Lucy J. Robertson, Oscar Noya González",https://www.sciencedirect.com/science/article/pii/B9780128225219001490/pdfft?md5=ce0310854e551c8c998f32c23767cc7c&pid=3-s2.0-B9780128225219001490-main.pdf,2024
"Molecular data confirmTriatoma pallidipennisStål, 1872 (Hemiptera: Reduviidae: Triatominae) as a novel cryptic species complex","Daryl D. Cruz, Elizabeth Arellano",https://www.sciencedirect.com/science/article/pii/S0001706X22000808/pdfft?md5=cacb34dc2de54ae6ac12e04e37b8af24&pid=1-s2.0-S0001706X22000808-main.pdf,2022
Chapter 5: Cardiovascular Complications of Chagas' Disease,"Andrés Felipe Miranda-Arboleda, Dhruv Krishnan, Adrian Baranchuk",https://www.sciencedirect.com/science/article/pii/B9780323911221000143/pdfft?md5=3396083fe94d949dcf2153c86d21922a&pid=3-s2.0-B9780323911221000143-main.pdf,2022
The role of tryptophan derivatives as anti-kinetoplastid agents,"Ewura-Esi Manful, Aboagye Kwarteng Dofuor, Theresa Manful Gwira",https://www.sciencedirect.com/science/article/pii/S2405844023111030/pdfft?md5=390754fed7d30155af11d15c75adfba5&pid=1-s2.0-S2405844023111030-main.pdf,2024
Comparative proteomic analysis ofTrypanosoma cruziTcI lineage epimastigotes unveils metabolic and phenotypic differences between fast- and slow-dividing strains,"Jenny Telleria, Michel Tibayrenc, Jaime A. Costales",https://www.sciencedirect.com/science/article/pii/S0014489423001170/pdfft?md5=fe3f94f568be46c79e05b80f97290e7f&pid=1-s2.0-S0014489423001170-main.pdf,2023
"A multidisciplinary, collaborative, inter-agency and comprehensive approach for the control of Chagas Disease as a public health problem in Guatemala","María Carlota Monroy, Daniel Penados, Roberto Chuit",https://www.sciencedirect.com/science/article/pii/S0001706X21003363/pdfft?md5=a27678ccda6a055c3cf345d774d23a85&pid=1-s2.0-S0001706X21003363-main.pdf,2022
Archaeoparasitology,"Aida R. Barbera, Karl J. Reinhard",No URL found,2024
Clockwork intruders: Do parasites manipulate their hostsʼ circadian rhythms?,"Sebastián Boy-Waxman, Martin Olivier, Nicolas Cermakian",https://www.sciencedirect.com/science/article/pii/S2667114X24000025/pdfft?md5=450d349550989e85087d9517d988c999&pid=1-s2.0-S2667114X24000025-main.pdf,2024
The long-term impact of an Ecohealth intervention: Entomological data suggest the interruption of Chagas disease transmission in southeastern Guatemala,"Fredy Manolo Pereira, Daniel Penados, María Carlota Monroy",https://www.sciencedirect.com/science/article/pii/S0001706X22003473/pdfft?md5=350c06d627eaefc1d23c2ad17c3a8291&pid=1-s2.0-S0001706X22003473-main.pdf,2022
