title,authors,url,year
Molecular and functional basis of high-salt avoidance in a blood-sucking insect,"Gina Pontes, José Manuel Latorre-Estivalis, Romina B. Barrozo",https://www.sciencedirect.com/science/article/pii/S2589004222007738/pdfft?md5=270c1185f1670c2a6bee15f01e5dddb6&pid=1-s2.0-S2589004222007738-main.pdf,2022
Chapter 8: Panics and pandemics,Edward P. Rybicki,No URL found,2023
69: Immunologic Mechanisms ofAtherosclerosis and Myocarditis,"Peter Libby, Andrew H. Lichtman",https://www.sciencedirect.com/science/article/pii/B9780702081651000691/pdfft?md5=60e48666196b29fd3bb9e8af00780746&pid=3-s2.0-B9780702081651000691-main.pdf,2023
"Structure-based design, synthesis and evaluation of a novel family of PEX5-PEX14 interaction inhibitors againstTrypanosoma","Valeria Napolitano, Piotr Mróz, Grzegorz Dubin",https://www.sciencedirect.com/science/article/pii/S0223523422006808/pdfft?md5=ad1ea5fe27759367698e0e7b61273651&pid=1-s2.0-S0223523422006808-main.pdf,2022
"The hormonal and neural control of egg production in the historically important model insect,Rhodnius prolixus: A review, with new insights in this post-genomic era","Angela B. Lange, Jimena Leyria, Ian Orchard",https://www.sciencedirect.com/science/article/pii/S0016648022000557/pdfft?md5=8f9ed41081913b241087270432a9a554&pid=1-s2.0-S0016648022000557-main.pdf,2022
Anti-Parasite Agents and Vaccines,Rashika El Ridi,https://www.sciencedirect.com/science/article/pii/B9780128187319000963/pdfft?md5=717cb726b47b8d90d98cbfdbaff597c9&pid=3-s2.0-B9780128187319000963-main.pdf,2022
Chapter 4: Trypanosomiasis,"Benoit Stijlemans, Boyoon Choi, Stefan Magez",https://www.sciencedirect.com/science/article/pii/B9780443191619000048/pdfft?md5=26235c4ad61bdc5e4cf335f1cfca42dc&pid=3-s2.0-B9780443191619000048-main.pdf,2024
Parasites of the Gastrointestinal Tract,"Blaine A. Mathison, Bobbi S. Pritt",https://www.sciencedirect.com/science/article/pii/B9780128187319001075/pdfft?md5=309290dfd07b62606a813e851ac2eb9e&pid=3-s2.0-B9780128187319001075-main.pdf,2022
"Drug resistance in animal trypanosomiases: Epidemiology, mechanisms and control strategies","Marzuq A. Ungogo, Harry P. de Koning",https://www.sciencedirect.com/science/article/pii/S2211320724000149/pdfft?md5=bfe511b8f01007efd11880ee75b2289f&pid=1-s2.0-S2211320724000149-main.pdf,2024
Chapter 3: Specific Infectious Diseases,"Daniel S. Burns, Lucy Lamb",https://www.sciencedirect.com/science/article/pii/B9780323794121000035/pdfft?md5=9ea5896e02b65bd333f15bcb4b4186f4&pid=3-s2.0-B9780323794121000035-main.pdf,2023
