title,authors,url,year
"Synanthropictriatominesin Hidalgo state,Mexico: Spatial-temporal distribution, domestic transmission cycle, and natural infection withTrypanosoma cruzi","Mónica Chico-Avelino, Adriana López-Mejía, Rebeca G. Manning-Cela",https://www.sciencedirect.com/science/article/pii/S0001706X22003102/pdfft?md5=45f278c37d838a3d81e72143fee97766&pid=1-s2.0-S0001706X22003102-main.pdf,2022
"Apparent absence ofTrypanosoma cruziinMexicanfree-tailed bats (Tadarida brasiliensis) from Texas, USA","Ilana A. Mosley, Lisa D. Auckland, Sarah A. Hamer",https://www.sciencedirect.com/science/article/pii/S2405939024000510/pdfft?md5=120f5d47bbd5aa0748a111262eb14199&pid=1-s2.0-S2405939024000510-main.pdf,2024
"Abundanttriatominesin Texas dog kennel environments:Triatominecollections, infection withTrypanosoma cruzi, and blood feeding hosts","R. E. Busselman, R. Curtis-Robles, S. A. Hamer",https://www.sciencedirect.com/science/article/pii/S0001706X23002747/pdfft?md5=496462f68fd4450c2c8883f3a15e2445&pid=1-s2.0-S0001706X23002747-main.pdf,2024
Chemical symphony: Unravelingtriatomineaggregation and attraction patterns for innovative pest control solutions,"David Alavez-Rosas, Leopoldo Cruz-López, Alex Córdoba-Aguilar",https://www.sciencedirect.com/science/article/pii/S0001706X24001104/pdfft?md5=8df78d30049aa45b38f02602009a6425&pid=1-s2.0-S0001706X24001104-main.pdf,2024
Circulation ofTrypanosoma cruziintriatominesandDidelphissp. in urban areas: Transmission risk assessment in the Metropolitan Region,"Rubens Antonio Silva, Vera Aparecida Oliveira Estevão, Edlaine Faria de Moura Villela",No URL found,2024
"Highlights, challenges, and perspectives in basic and applied chemical ecology oftriatomines","Gabriel Manrique, Julio C Rojas, Pablo G Guerenstein",https://www.sciencedirect.com/science/article/pii/S2214574523000986/pdfft?md5=6d3dcdfa44ff63bab8e43a4954132097&pid=1-s2.0-S2214574523000986-main.pdf,2023
Trypanosoma cruziinfection in dogs along the US-Mexicoborder:R0changes with vector species composition,"Luis Fernando Chaves, Alyssa C. Meyers, Sarah A. Hamer",https://www.sciencedirect.com/science/article/pii/S1755436523000592/pdfft?md5=57f445b1b533dc6f207553a8bb34d8fe&pid=1-s2.0-S1755436523000592-main.pdf,2023
"Vital statistics of the introduced speciesTriatoma infestans(Klug, 1834) (Hemiptera: Reduviidae) in westernMexicounder laboratory conditions","José Alejandro Martínez-Ibarra, Fernando Martínez-Hernández, Benjamín Nogueda-Torres",https://www.sciencedirect.com/science/article/pii/S0001706X2200420X/pdfft?md5=a8181e6f448e1313e3da43965a3eaaad&pid=1-s2.0-S0001706X2200420X-main.pdf,2023
"Body shape and fluctuating asymmetry following different feeding sources and feeding time in atriatomine,Triatoma pallidipennis(Stål, 1892)","Ana E. Gutiérrez-Cabrera, Raúl Badillo Montaño, Alex Córdoba-Aguilar",https://www.sciencedirect.com/science/article/pii/S1567134821004998/pdfft?md5=57993a2d934bfa6984bc552ba7fe8cf4&pid=1-s2.0-S1567134821004998-main.pdf,2022
Resisting an invasion: A review of thetriatominevector (Kissing bug) defense strategies against aTrypanosoma spinfection,"Victor Irungu Mwangi, Erika Gomez Martinez, Maria das Graças V. B. Guerra",https://www.sciencedirect.com/science/article/pii/S0001706X22004375/pdfft?md5=0762282f1850c5560497b6d2d33ec2e6&pid=1-s2.0-S0001706X22004375-main.pdf,2023
"Dataset of assembly and annotation of the mitogenomes ofTriatoma dimidiataandTriatoma huehuetenanguensiscaptured from Yucatán,México","Nohemi Cigarroa-Toledo, Carlos M. Baak-Baak, Karla Y. Acosta-Viana",https://www.sciencedirect.com/science/article/pii/S2352340923009277/pdfft?md5=842eb25754c2b3f3ceba1537a76bc65f&pid=1-s2.0-S2352340923009277-main.pdf,2024
"Surveillance of sand flies (Psychodidae, Phlebotominae) fromMexico: Altitudinal and climatic patterns after historical and new geographic records in endemic areas of leishmaniasis","Yokomi N. Lozano-Sardaneta, Jorge J. Rodríguez-Rojas, Atilano Contreras-Ramos",https://www.sciencedirect.com/science/article/pii/S0001706X24001529/pdfft?md5=52537ba90810b817d6a48ec2361c3a19&pid=1-s2.0-S0001706X24001529-main.pdf,2024
