title,authors,url,year
"Abundanttriatominesin Texas dog kennel environments:Triatominecollections, infection withTrypanosoma cruzi, and blood feeding hosts","R. E. Busselman, R. Curtis-Robles, S. A. Hamer",https://www.sciencedirect.com/science/article/pii/S0001706X23002747/pdfft?md5=496462f68fd4450c2c8883f3a15e2445&pid=1-s2.0-S0001706X23002747-main.pdf,2024
Circulation ofTrypanosoma cruziintriatominesandDidelphissp. in urban areas: Transmission risk assessment in the Metropolitan Region,"Rubens Antonio Silva, Vera Aparecida Oliveira Estevão, Edlaine Faria de Moura Villela",No URL found,2024
"Highlights, challenges, and perspectives in basic and applied chemical ecology oftriatomines","Gabriel Manrique, Julio C Rojas, Pablo G Guerenstein",https://www.sciencedirect.com/science/article/pii/S2214574523000986/pdfft?md5=6d3dcdfa44ff63bab8e43a4954132097&pid=1-s2.0-S2214574523000986-main.pdf,2023
Diet of the sylvatictriatomineMepraia spinolai: Association withTrypanosoma cruziinfection near human settlements,"Catalina Sierra-Rosales, Esteban San Juan, Carezza Botto-Mahan",https://www.sciencedirect.com/science/article/pii/S0001706X23002255/pdfft?md5=e1f6b42e1143ae7e575f59b39571df1c&pid=1-s2.0-S0001706X23002255-main.pdf,2023
Chagas Disease: a Review and Perspective on Laboratory Diagnostics in theUnitedStates,Jeffrey D. Whitman,No URL found,2023
"Phenology and environmental predictors ofTriatoma sanguisugadispersal in east-central Texas,UnitedStates","Juan P. Fimbres-Macias, Trevor A. Harris, Gabriel L. Hamer",https://www.sciencedirect.com/science/article/pii/S0001706X23000499/pdfft?md5=46edd15f5c43a2937a675e51c12478af&pid=1-s2.0-S0001706X23000499-main.pdf,2023
"Apparent absence ofTrypanosoma cruziin Mexican free-tailed bats (Tadarida brasiliensis) from Texas, USA","Ilana A. Mosley, Lisa D. Auckland, Sarah A. Hamer",https://www.sciencedirect.com/science/article/pii/S2405939024000510/pdfft?md5=120f5d47bbd5aa0748a111262eb14199&pid=1-s2.0-S2405939024000510-main.pdf,2024
"Revised New World bioregions and environmental correlates for vectors of Chagas disease (Hemiptera, Triatominae)","Mireya Gomez, Wilfredo A. Matamoros, Christopher W. Hoagstrom",https://www.sciencedirect.com/science/article/pii/S0001706X23002498/pdfft?md5=d7ad2f09e5350837f75283f378ea5ab8&pid=1-s2.0-S0001706X23002498-main.pdf,2024
Trypanosoma cruziExtends Its Transmission Through the Foodborne Pathway,"Belkisyolé Alarcón de Noya, Lucy J. Robertson, Oscar Noya González",https://www.sciencedirect.com/science/article/pii/B9780128225219001490/pdfft?md5=ce0310854e551c8c998f32c23767cc7c&pid=3-s2.0-B9780128225219001490-main.pdf,2024
"Chapter 15: Genetics of the Triatominae (Hemiptera: Reduviidae), Vectors of Chagas Disease","S. F. Brenière, E. Waleckx, P. L. Dorn",https://www.sciencedirect.com/science/article/pii/B978044328818000001X/pdfft?md5=107500ee567771201923fd7f8a98f282&pid=3-s2.0-B978044328818000001X-main.pdf,2024
Chagas disease in theUnitedStates: a call for increased investment and collaborative research,"Nelson Iván Agudelo Higuita, Norman L. Beatty, Jennifer Manne-Goehler",https://www.sciencedirect.com/science/article/pii/S2667193X24000954/pdfft?md5=517e931ede716f2b7ee1a7c0dd69d122&pid=1-s2.0-S2667193X24000954-main.pdf,2024
Behavioral and biological parameters of six populations ofTriatoma pallidipennis(Heteroptera: Reduviidae) from areas with high and low prevalence rates ofTrypanosoma cruzihuman infection,"Tzintli Meraz-Medina, Yunuen Grant-Guillén, José Alejandro Martínez-Ibarra",https://www.sciencedirect.com/science/article/pii/S0001706X24001414/pdfft?md5=99150982f6e081728a3b657d4b7ad1de&pid=1-s2.0-S0001706X24001414-main.pdf,2024
Trypanosoma cruziinfection in mammals in Florida: New insight into the transmission ofT. cruziin the southeasternUnitedStates,"Carson W. Torhorst, Kimberly J. Ledger, Samantha M. Wisely",https://www.sciencedirect.com/science/article/pii/S2213224423000512/pdfft?md5=2fa979cc6fd28af9e62a05a614376195&pid=1-s2.0-S2213224423000512-main.pdf,2023
"Cellphone picture-based, genus-level automated identification of Chagas disease vectors: Effects of picture orientation on the performance of five machine-learning algorithms","Vinícius Lima de Miranda, Ewerton Pacheco de Souza, Fernando Abad-Franch",https://www.sciencedirect.com/science/article/pii/S1574954123004594/pdfft?md5=e727a859dc659d24d9e2e9eb46621d2a&pid=1-s2.0-S1574954123004594-main.pdf,2024
Multilocus genetic analysis ofTrypanosoma cruzisupports non-domestic intrusion into domestic transmission in an endemic region of Colombia,"Omar Cantillo-Barraza, Jeiczon Jaimes-Dueñez, Andrés Gómez-Palacio",https://www.sciencedirect.com/science/article/pii/S240567312400028X/pdfft?md5=fb058d2069ac6d31b1b79ed2c7606624&pid=1-s2.0-S240567312400028X-main.pdf,2024
"Seroprevalence of Chagas Cardiomyopathy Among Hospitalized Latin American Immigrants Within a Washington, DC, Hospital","Ajay Kerai, Ritika Gadodia, Rachel Marcus",No URL found,2024
"Vector-borne disease, climate change and perinatal health","Austin M Oberlin, Blair J Wylie",https://www.sciencedirect.com/science/article/pii/S0146000523001441/pdfft?md5=526d843ff6fa40a702bd7a9374793559&pid=1-s2.0-S0146000523001441-main.pdf,2023
"Comparative morphology of eggs ofRhodnius domesticusNeiva & Pinto,Rhodnius neglectusLent andRhodnius prolixusStål (Hemiptera: Reduviidae: Triatominae)","Allan Pitta Seabra, João Paulo Sales Oliveira-Correia, Cleber Galvão",https://www.sciencedirect.com/science/article/pii/S138357692400045X/pdfft?md5=fcdba3413e046f4abce5878bf6c879d9&pid=1-s2.0-S138357692400045X-main.pdf,2024
Twitter trends in #Parasitology determined by text mining and topic modelling,"John T. Ellis, Michael P. Reichel",https://www.sciencedirect.com/science/article/pii/S2667114X23000262/pdfft?md5=c7992ffa607565d3367a53b202f59af6&pid=1-s2.0-S2667114X23000262-main.pdf,2023
Protozoan diseases: Chagas disease,"Giri S. Rajahram, David L. Heymann",https://www.sciencedirect.com/science/article/pii/B9780323999670003033/pdfft?md5=448ceb544a87faca5ec9b3926507cdf6&pid=3-s2.0-B9780323999670003033-main.pdf,2024
Chagas disease reactivation associated with cutaneous vasculitis in a heart transplant patient,"Mark Biro, Alison L. Hill, Freba Z. Farhat",https://www.sciencedirect.com/science/article/pii/S2352512623003776/pdfft?md5=66705d9739018ec9057086dca905d130&pid=1-s2.0-S2352512623003776-main.pdf,2023
Looking through the lens of social science approaches: A scoping review of leishmaniases and Chagas disease research,"Raíssa Nogueira de Brito, Susan Tanner, Juliana Hoyos",https://www.sciencedirect.com/science/article/pii/S0001706X23002450/pdfft?md5=1d1d102ff85f6d7525255e799919d206&pid=1-s2.0-S0001706X23002450-main.pdf,2024
Commentary on Automatic identification of Chagas disease vectors using data mining and deep learning techniques,"Ziba Parsons, Shadi Banitaan",https://www.sciencedirect.com/science/article/pii/S1574954123000936/pdfft?md5=54499af819d6928d56c049973c0116b1&pid=1-s2.0-S1574954123000936-main.pdf,2023
Chapter 7: Human Genetic Variability and Transmissible Diseases,Michel Tibayrenc,https://www.sciencedirect.com/science/article/pii/B9780443288180000021/pdfft?md5=c8e26e2a95b32c63b7424746b06e412b&pid=3-s2.0-B9780443288180000021-main.pdf,2024
This Month inJAAD Case Reports: February 2024 Chagas disease reactivation presenting with vasculitis,Brett Sloan,https://www.sciencedirect.com/science/article/pii/S0190962223032346/pdfft?md5=4e4208b773fd50808c3b388d857f7c30&pid=1-s2.0-S0190962223032346-main.pdf,2024
Trypanosoma Cruziantibody screening in North Texas client owned dogs,"Wendy Pace, Joseph Oppong",No URL found,2024
