title,authors,url,year
Molecular and functional basis of high-salt avoidance in a blood-sucking insect,"Gina Pontes, José Manuel Latorre-Estivalis, Romina B. Barrozo",https://www.sciencedirect.com/science/article/pii/S2589004222007738/pdfft?md5=270c1185f1670c2a6bee15f01e5dddb6&pid=1-s2.0-S2589004222007738-main.pdf,2022
69: Immunologic Mechanisms ofAtherosclerosis and Myocarditis,"Peter Libby, Andrew H. Lichtman",https://www.sciencedirect.com/science/article/pii/B9780702081651000691/pdfft?md5=60e48666196b29fd3bb9e8af00780746&pid=3-s2.0-B9780702081651000691-main.pdf,2023
"Structure-based design, synthesis and evaluation of a novel family of PEX5-PEX14 interaction inhibitors againstTrypanosoma","Valeria Napolitano, Piotr Mróz, Grzegorz Dubin",https://www.sciencedirect.com/science/article/pii/S0223523422006808/pdfft?md5=ad1ea5fe27759367698e0e7b61273651&pid=1-s2.0-S0223523422006808-main.pdf,2022
"The hormonal and neural control of egg production in the historically important model insect,Rhodnius prolixus: A review, with new insights in this post-genomic era","Angela B. Lange, Jimena Leyria, Ian Orchard",https://www.sciencedirect.com/science/article/pii/S0016648022000557/pdfft?md5=8f9ed41081913b241087270432a9a554&pid=1-s2.0-S0016648022000557-main.pdf,2022
Anti-Parasite Agents and Vaccines,Rashika El Ridi,https://www.sciencedirect.com/science/article/pii/B9780128187319000963/pdfft?md5=717cb726b47b8d90d98cbfdbaff597c9&pid=3-s2.0-B9780128187319000963-main.pdf,2022
Parasites of the Gastrointestinal Tract,"Blaine A. Mathison, Bobbi S. Pritt",https://www.sciencedirect.com/science/article/pii/B9780128187319001075/pdfft?md5=309290dfd07b62606a813e851ac2eb9e&pid=3-s2.0-B9780128187319001075-main.pdf,2022
"Drug resistance in animal trypanosomiases: Epidemiology, mechanisms and control strategies","Marzuq A. Ungogo, Harry P. de Koning",https://www.sciencedirect.com/science/article/pii/S2211320724000149/pdfft?md5=bfe511b8f01007efd11880ee75b2289f&pid=1-s2.0-S2211320724000149-main.pdf,2024
"Abundanttriatominesin Texas dog kennel environments:Triatominecollections, infection withTrypanosoma cruzi, and blood feeding hosts","R. E. Busselman, R. Curtis-Robles, S. A. Hamer",https://www.sciencedirect.com/science/article/pii/S0001706X23002747/pdfft?md5=496462f68fd4450c2c8883f3a15e2445&pid=1-s2.0-S0001706X23002747-main.pdf,2024
Circulation ofTrypanosoma cruziintriatominesandDidelphissp. in urban areas: Transmission risk assessment in the Metropolitan Region,"Rubens Antonio Silva, Vera Aparecida Oliveira Estevão, Edlaine Faria de Moura Villela",No URL found,2024
"Highlights, challenges, and perspectives in basic and applied chemical ecology oftriatomines","Gabriel Manrique, Julio C Rojas, Pablo G Guerenstein",https://www.sciencedirect.com/science/article/pii/S2214574523000986/pdfft?md5=6d3dcdfa44ff63bab8e43a4954132097&pid=1-s2.0-S2214574523000986-main.pdf,2023
Diet of the sylvatictriatomineMepraia spinolai: Association withTrypanosoma cruziinfection near human settlements,"Catalina Sierra-Rosales, Esteban San Juan, Carezza Botto-Mahan",https://www.sciencedirect.com/science/article/pii/S0001706X23002255/pdfft?md5=e1f6b42e1143ae7e575f59b39571df1c&pid=1-s2.0-S0001706X23002255-main.pdf,2023
Chagas Disease: a Review and Perspective on Laboratory Diagnostics in theUnitedStates,Jeffrey D. Whitman,No URL found,2023
"Phenology and environmental predictors ofTriatoma sanguisugadispersal in east-central Texas,UnitedStates","Juan P. Fimbres-Macias, Trevor A. Harris, Gabriel L. Hamer",https://www.sciencedirect.com/science/article/pii/S0001706X23000499/pdfft?md5=46edd15f5c43a2937a675e51c12478af&pid=1-s2.0-S0001706X23000499-main.pdf,2023
"Apparent absence ofTrypanosoma cruziin Mexican free-tailed bats (Tadarida brasiliensis) from Texas, USA","Ilana A. Mosley, Lisa D. Auckland, Sarah A. Hamer",https://www.sciencedirect.com/science/article/pii/S2405939024000510/pdfft?md5=120f5d47bbd5aa0748a111262eb14199&pid=1-s2.0-S2405939024000510-main.pdf,2024
